ID;WORD;VOCALIZED;WORD_TYPE;SYNO_SET;SYNO_SET_VOCALIZED
804;أفطم;أَفْطَمَ;فعل;"فطم";"فَطَمَ"
805;أفظى;أَفْظَى;فعل;"ساء(خلقه)";"سَاءَ(خُلُقُهُ)"
806;إفظاء;إِفْظَاء;مصدر;"سوء الخلق";"سُوء الخُلُق"
807;أفعم;أَفْعَمَ;فعل;"ممتلئ;فائض";"مُمْتَلِئ;فَائِض"
808;أفعم(الإناء);أَفْعَمَ(الإنَاءَ);فعل;"ملأ";"مَلأَ"
809;أفف;أَفَف;فعل;"ضجر";"ضَجَرَ"
810;إفقار;إِفْقَار;مصدر;"احوجاج(إلى المال)";"اِحْوِجَاج(إلى المال)"
811;أفقر;أَفْقَرَ;فعل;"أحوج";"أَحْوَجَ"
812;أفقع;أَفْقَع;اسم;"شديد البياض";"شَديد البَيَاض"
813;أفك;أَفَكَ;فعل;"كذب";"كَذَبَ"
814;أفك;أَفَّكَ;فعل;"كذّب";"كَذَّبَ"
815;إفك;إِفْك;مصدر;"كذب;إثم;ذّنب";"كَذِب;إِثْم;ذَّنْب"
816;إفلات;إِفْلاَت;مصدر;"تحرر;";"تَحَرُر;"
817;إفلاس;إِفْلاَس;مصدر;"افتقار;إعدام";"اِفْتِقَار;إِعْدَام"
818;أفل;أَفَلَ;فعل;"غاب;";"غَابَ;"
819;آفل;آفِل;اسم;"غائب;";"غَائِب;"
820;أفلت;أَفْلَتَ;فعل;"تحرر;";"تَحَرَرَ;"
821;أفلح;أَفْلَحَ;فعل;"نجح;";"نَجَحَ;"
822;أفلس;أَفْلَسَ;فعل;"افتقر;أعدم";"اِفْتَقَرَ;أَعْدَمَ"
823;أفن;أَفْن;اسم;"حمق;";"حُمْق;"
824;أفنك;أَفْنَكَ;فعل;"كذب;";"كَذَبَ;"
825;إفهام;إِفْهَام;مصدر;"تفهيم;";"تَفْهِيم;"
826;أفوك;أَفُوك;اسم;"كذّاب;";"كَذَّاب;"
827;أفوك;أَفُوك;اسم;"كذب;";"كَذِب;"
828;أفول;أَفُول;اسم;"غياب;";"غِيَاب;"
829;أفيك;أَفِيك;اسم;"كذّاب;";"كَذّاب;"
830;أقات;أَقَاتَ;فعل;"أطعم;";"أَطْعَمَ;"
831;أقارب;أَقَارِب;اسم;"أهل;";"أَهْل;"
832;إقالة;إِقَالَة;اسم;"ادّعاء;نّسب;فصل";"اِدِّعَاء;نَّسَب;فَصْل"
833;أقال(من منصبه);أَقَال(من منصِبِهِ);فعل;"فصل";"فَصَلَ"
834;أقام(في المكان);أَقَام(في المكانِ);فعل;"سكن(فيه);دام(فيه)";"سَكَنَ(فيه);دَامَ(فيه)"
835;إقامة;إِقَامَة;اسم;"سكن";"سَكَن"
836;إقبال;إِقْبَال;مصدر;"قدوم;مجيء";"قُدُوم;مَجِيء"
837;أقبح;أَقْبَح;فعل;"أبشع";"أَبْشَع"
838;أقبل;أَقْبَلَ;فعل;"قدم;أتى;جاء";"قَدِمَ;أَتَى;جَاءَ"
839;أقبل(على الشيء);أَقْبَلَ(على الشيء);فعل;"أتى(إليه)";"أَتَى(إِلَيهِ)"
840;اقتاظ(بالمكان);اِقْتَاظَ(بالمكان);فعل;"أقام(فيه)";"أَقَامَ(فيهِ)"
841;اقتياظ;اِقْتِياظ;مصدر;"إقامة";"إِقَامَة"
842;اقتدر(عليه);اِقْتَدَرَ(عليهِ);فعل;"قدر;قوي";"قَدِرَ;قَوِيَ"
843;اقتراب;اِقْتِرَاب;مصدر;"دّنوّ";"دُّنُوّ"
844;اقتران;اِقْتِرَان;مصدر;"اتّصال;زواج";"اِتِّصَال;زَوَاج"
845;اقترب;اِقْتَرَبَ;فعل;"دنا";"دَنَا"
846;اقترن;اِقْتَرَنَ;فعل;"اتّصل;تزوّج";"اِتَّصَلَ;تَزَوَّجَ"
847;اقتشار;اِقْتِشَار;مصدر;"تعرّي";"تَعَرّي"
848;اقتشر;اِقْتَشَرَ;فعل;"تعرّى;";"تَعَرّى;"
849;اقتصاد;اِقْتِصَاد;مصدر;"توسّط;";"تَوَسُّط;"
850;اقتصد(في النفقة);اِقْتَصَدَ(في النفقة);فعل;"توسط(الإسراف والتقتير);";"تَوَسَطَ(الإسراف والتقتير);"
851;اقتصار;اِقْتِصَار;مصدر;"اكتفاء;";"اِكْتِفَاء;"
852;اقتصر;اِقْتَصَرَ;فعل;"اكتفى;";"اِكْتَفَى;"
853;اقتفال;اِقْتِفَال;مصدر;"انغلاق;";"اِنْغِلاَق;"
854;اقتفل(الباب);اِقْتَفَلَ(البابُ);فعل;"انغلق;";"اِنْغَلَقَ;"
855;اقتلاع;اِقْتِلاَع;مصدر;"قلع;انتزاع";"قَلْع;اِنْتِزَاع"
856;اقتلع;اِقْتَلَعَ;فعل;"قلع;انتزع";"قَلَعَ;انَتَزَعَ"
857;اقتمأ;اِقْتَمَأَ;فعل;"جمع;";"جَمَعَ;"
858;إقحاط;إِقْحَاط;مصدر;"إجداب;";"إِجْدَاب;"
859;أقحط;أَقْحَطَ;فعل;"أجدب;";"أَجْدَبَ;"
860;أقدى;أَقْدَى;فعل;"رجع(من السّفر);";"رَجَعَ(من السَّفَرَ);"
861;إقداء;إِقْدَاء;مصدر;"رجوع(من السّفر);";"رُجُوع(من السَّفَرَ);"
862;إقدام;إِقْدَام;مصدر;"شجاعة;إقبال";"شَجَاعَة;إِقْبَال"
863;أقدم;أَقْدَمَ;فعل;"أقبل;";"أَقْبَلَ;"
864;أقذاء(الناس);أَقْذَاءُ(الناسِ);اسم;"سفلة;حثالة";"سَفَلَة;حُثَالَة"
865;إقذاع;إِقْذَاع;مصدر;"شّتم;";"شَّتْم;"
866;أقذع;أَقْذَعَ;فعل;"شتم;";"شَتَمَ;"
867;أقذع;أَقْذَعَ;فعل;"قبيح;سّيئ";"قَبِيح;سَّيِئ"
868;أقر;ٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍأَقَرَّ;فعل;"اعترف;";"اِعْتَرَفَ;"
869;إقرار;إِقْرَار;مصدر;"اعتراف;";"اِعْتِراف;"
870;أقرب;أَقْرَب;فعل;"أدنى;";"أَدْنَى;"
871;أقرع;أَقْرَع;فعل;"أصلع;";"أَصْلَع;"
872;إقران;إِقْرَان;مصدر;"جمع(بين الشيءين);";"جَمْع(بين الشيءين);"
873;أقرن;أَقْْرَنَ;فعل;"جمع(بين الشيءين);";"جَمَعَ(بين الشيءين);"
874;اقرنصاف;اِقْرِنْصَاف;مصدر;"إسراع;";"إِسْرَاع;"
875;اقرنصف;اِقْرَنْصَفَ;فعل;"أسرع;";"أَسْرَعَ;"
876;أقزل;أَقْزَل;فعل;"أعرج;";"أَعْرَج;"
877;أقزم;أَقْزَم;فعل;"حديث;";"حَدِيث;"
878;أقسى;أَقْسَى;فعل;"أصلب;";"أَصْلَب;"
879;إقساط;إِقْسَاط;مصدر;"عدل;";"عدْل;"
880;أقشى;أَقْشَى;فعل;افتقر;اِفْتَقَرَ
881;إقشاء;إِقْشَاء;مصدر;افتقار;اَفْتِقَار
882;أقصى;أَقْصَى;فعل;أبعد;أَبْعَد
883;أقصى;أَقْصَى;فعل;أبعد;أَبْعَدَ
884;إقصاء;إِقْصَاء;مصدر;إبعاد;إِبْعَاد
885;إقصار;إِقْصَار;مصدر;تقصير;تَقْصِير
886;أقصد(السهم);أَقْصَدَ(السهم);فعل;أصاب;أَصَابَ
887;أقصر;أَقْصَرَ;فعل;قصّر;قَصَّرَ
888;أقض(المضجع);أَقَضَّ(المَضْجَعَ);فعل;حشن;حَشُنَ
889;أقطب(القوم);أَقْطَبَ(القومُ);فعل;اجتمع;اِجْتَمَعَ
890;اقطرار;اِقْطِرَار;مصدر;غضب;غَضَب
891;أقطر(الماء);أَقْطَرَ(الماء);فعل;أسال(قطرة قطرة);أَسَالَ(قَطْرة قَطْرة)
892;اقطر;اِقْطَرَّ;فعل;غضب;غَضِبَ
893;إقعاث;إِقْعَاث;مصدر;إسراف;إِسْرَاف
894;إقعاس;إِقْعَاس;مصدر;اغتناء;اِغْتِنَاء
895;أقعث;أَقْعَثَ;فعل;أسرف;أَسْرَفَ
896;أقعس;أَقْعَسَ;فعل;"اغتنى";"اِغْتَنَى"
897;أقعس;أَقْعَس;فعل;"ثابت";"ثَابِت"
898;اقعنساس;اِقْعِنْسَاس;مصدر;"تأخّر;تّخلّف;";"تَأَخُّر;تَّخَلُّف;"
899;اقعنسس;اِقْعَنْسَسَ;فعل;"تأخّر;تخلّف;";"تَأَخَّرَ;تَخَلَّفَ;"
900;إقفال;إِقْفَال;مصدر;"إغلاق";"إِغْلاَق"
901;أقفر(المكان);أَقْفَرَ(المكان);فعل;"خلا(من الناس)";"خَلاَ(من الناسِ)"
902;أقفل;أَقْفَلَ;فعل;"أغلق";"أَغْلَقَ"
903;أقل;أَقَلَّ;فعل;"قلّل;حمل;نقل";"قَلَّلَ;حَمَلَ;نَقَلَ"
904;أقل;أَقَلّ;فعل;"أدنى;أصغر;";"أَدْنَى;أَصْغَر;"
905;إقلات;إِقْلاَت;مصدر;"إفساد";"إِفْسَاد"
906;إقلاع;إِقْلاَع;مصدر;"زوال;انطلاق;";"زَوَال;اِنْطِلاَق;"
907;إقلاق;إِقْلاَق;مصدر;"إزعاج";"إِزْعَاج"
908;إقلال;إِقْلاَل;مصدر;"تقليل;حمل;نقل";"تَقِليل;حَمْل;نَقَلَ"
909;أقلت;أَقْلَتَ;فعل;"أفسد";"أَفْسَدَ"
910;أقلة(من الناس);أَقِلَّةٌ(منَ النَاسِ);اسم;"سفلة;منحطون;";"سَفَلَة;مُنْحَطُون;"
911;أقلع(عن الشيء);أَقْلَعَ(عن الشيء);فعل;"امتنع(عنه)";"اِمْتَنَعَ(عَنْهُ)"
912;أقلع(ت)السفينة;أَقْلَعَ(ت)السَفِينة;فعل;"أبحر(ت);";"أَبْحَرَ(ت);"
913;أقلع(ت)الطائرة;أَقْلَعَ(ت)الطَائِرة;فعل;"طار(ت);";"طَارَ(ت);"
914;أقلق;أَقْلَقَ;فعل;"أزعج;";"أَزْعَجَ;"
915;أقمى;أَقْمَى;فعل;"سمن;";"سَمِنَ;"
916;أقمأ(ت) الماشية;أَقْمَأَ(ت) الماشِيَة;فعل;"سمن(ت);";"سَمِنَ(ت);"
917;أقمس(الكوكب);أَقْمَسَ(الكِوْكِبُ);فعل;"غاب;أفل";"غَابَ;أَفَلَ"
918;اقمطر(عليه);اِقْمَطَرَ(عَلَيهِ);فعل;"تزاحم;";"تَزَاحَمَ;"
919;أقمع;أَقْمَعَ;فعل;"قهر;أذلّ";"قَهَرَ;أَذَلَّ"
920;أقنأ (الشيء);أَقْنَأَ (الشَيء);فعل;"أفسد(ه);";"أَفْسَدَ(ه);"
921;إقناب;إِقْنَاب;مصدر;"استخفاء;تستّر";"اِسْتِخْفَاء;تَسَتُّر"
922;إقنات;إِقْنَات;مصدر;"تواضع(لله تعالى);";"تَوَاضُع(لله تَعَالى);"
923;إقناع;إِقْنَاع;مصدر;"إرضاء;";"إِرْضَاء;"
924;أقنب;أَقْنَبَ;فعل;"استخفى;تستّر";"اِسْتَخْفى;تَسَتَّرَ"
925;أقنت;أَقْنَتَ;فعل;"تواضع(لله تعالى);";"تَوَاضَعَ(لله تَعَالى);"
926;أقنط;أَقْنَطَ;فعل;"أيأس;";"أَيْأَسَ;"
927;أقنع;أَقْنَعَ;فعل;"أرضى;";"أَرْضَى;"
928;أقهب(عن الطعام);أَقْهَبَ(عنِ الطَعامِ);فعل;"امتنع(عنه)";"اِمْتَنَعَ(عَنْهُ)"
929;أقهم(عن الطعام);أَقْهَمَ(عنِ الطَعَامِ);فعل;"لم يشته(ه)";"لَم يَشْتَهِ(ه)"
930;أقوت(الدار);أَقْوَتِ(الدارُ);فعل;"خلت(من سكانها)";"خَلَتْ(من سكانها)"
931;أقود;أَقْوَد;اسم;"بخيل";"بَخِيل"
932;أكأى;أَكْأَى;فعل;"كره";"كَرِهَ"
933;أكأب;أَكْأَب;فعل;"أحزن;أغمّ";"أَحْزَنَ;أَغَمَّ"
934;أكابر;أَكَابِر;اسم;"وجهاء";"وُجَهَاء"
935;أكاديد;أَكَاديد;اسم;"منهزمون";"مُنْهَزِمون"
936;أكار;أَكَارَ;فعل;"استذلّ;استضعف;احتقر";"اِسْتَذَلَّ;اِسْتَضْعَفَ;اِحْتَقَرَ"
937;إكارة;إِكَارة;مصدر;"استذلال;استضعاف;احتقار";"اِسْتِذْلاَل;اِسْتِضْعَاف;اِحْتِقَار"
938;أكب(على العمل);أَكَّبَ(عَلى العَمَلِ);فعل;"أقبل(عليه);لزم(ه)";"أَقْبَلَ(عَلَيهِ);لَزِمَ(ه)"
939;إكباب;إِكْبَاب;مصدر;"إقبال;ملازمة";"إِقْبَال;مُلاَزَمَة"
940;إكباح;إِكْبَاح;مصدر;"إيقاف";"إِيقَاف"
941;إكبار;إِكْبَار;مصدر;"تعظيم";"تَعْظِيم"
942;أكبح(الدابة باللجام);أَكْبَحَ(الدابة باللِّجامِ);فعل;"جذبّ(ها)(به لتقف)";"جَذَبّ(ها)(بهِ لتقفَ)"
943;أكبح(من الجمال);أَكْبَحُ(منَ الجِمالِ);اسم;"شديد";"شَديد"
944;أكبر(ه);أَكْبَرَ(ه);فعل;"عظم(ه);";"عَظَمَ(ه);"
945;أكبر;أَكْبَرَ;فعل;"أعظم;";"أَعْظَم;"
946;اكتئاب;اِكْتِئَاب;مصدر;"حزن;اغتمام";"حُزْن;اِغْتِمَام"
947;اكتأب;اِكْتِأَبَ;فعل;"حزن;اغتمّ";"حَزِنَ;اِغْتَمَّ"
948;اكتاد;اِكْتَادَ;فعل;"خدع;احتال";"خَدَعَ;اِحْتَالَ"
949;اكتبال;اِكْتِبَال;مصدر;"تقييد;";"تَقْييد;"
950;اكتبل;اِكْتَبَلَ;فعل;"قيّد;";"قَيَّدَ;"
951;اكتتام(الحديث);اِكْتِتَامَ(الحديثِ);مصدر;"كتمان;إخفاء";"كِتْمَانُ;إِخْفَاءُ"
952;اكتتم;اِكْتَتَمَ;فعل;"كتم;أخفى";"كَتَمَ;أَخْفَى"
953;اكتد;اِكْتَدَّ;فعل;"بخل;حضّ(على العمل)";"بَخِلَ;حَضَّ(على العمل)"
954;اكتداح;اِكْتِدَاح;مصدر;"عمل;تكسّب";"عَمَل;تَكَسُّب"
955;اكتداد;اِكْتِدَاد;مصدر;"بخل;حضّ(على عمل)";"بُخْل;حَضٌّ(على عمل)"
956;اكتدح;اِكْتَدَحَ;فعل;"عمل;تكسّب";"عَمِلَ;تَكَسَّبَ"
957;اكتراب;اِكْتِرَاب;مصدر;"حزن;اغتمام";"حُزْن;اِغْتِمَام"
958;اكتراث;اِكْتِرَاث;مصدر;"اهتمام;مبالاة";"اِهْتِمَام;مُبَالاَة"
959;اكترب;اِكْتَرَبَ;فعل;"حزن;اغتمّ";"حَزِنَ;اِغْتَمَّ"
960;اكتراص;اِكْتِرَاص;مصدر;"جمع";"جَمْع"
961;اكترث;اِكْتَرَثَ;فعل;"اهتم;بالى";"اِهْتَمَ;بَالَى"
962;اكترص;اِكْتَرَصَ;فعل;"جمع";"جَمَعَ"
963;اكتز;اِكْتَزَّ;فعل;"تقبّض";"تَقَبَّضَ"
964;اكتزاز;اِكْتِزَاز;مصدر;"تقبّض";"تَقَبُّض"
965;اكتسى;اِكْتَسَى;فعل;"لبس";"لَبِسَ"
966;اكتساء;اِكْتِسَاء;مصدر;"لّبس";"لِّبْس"
967;اكتساب;اِكْتِسَاب;مصدر;"رّبح";"رِّبح"
968;اكتسب;اِكْتَسَبَ;فعل;"ربح";"رَبَحَ"
969;اكتص(القوم);اِكْتَصَ(القوم);فعل;"ازدحم;اجتمع";"اِزْدَحَمَ;اِجْتَمَعَ"
970;اكتصاص;اِكْتِصَاص;مصدر;"ازدحام;اجتماع";"اِزْدِحَام;اِجْتِمَاع"
971;اكتظ(المكان);اِكْتَظَّ(المكان);فعل;"امتلأ(بالناس)";"اِمْتَلأَ(بالناسِ)"
972;اكتفى;اِكْتَفَى;فعل;"استغنى;اقتنع";"اِسْتَغْنى;اِقْتَنَعَ"
973;اكتفاء;اِكْتِفَاء;مصدر;"استغناء;اقتناع";"اِسْتِغْنَاء;اِقْتِنَاع"
974;أكتم;أَكْتَم;اسم;"شبعان;عظيم(البطن)";"شَبْعَان;عَظيم(البطن)"
975;اكتمى;اِكْتَمَى;فعل;"استتر";"اِسْتَتَرَ"
976;اكتماء;اِكْتِمَاء;مصدر;"استتار";"اِسْتِتَار"
977;اكتمن;اِكْتَمَنَ;فعل;"اختفى;اختبأ";"اِخْتَفَى;اِخْتَبَأَ"
978;اكتن;اِكْتَنَّ;فعل;"استتر";"اِسْتَتَرَ"
979;اكتنات;اِكْتِنَات;مصدر;"خضوع;رضى";"خُضُوع;رِضَى"
980;اكتنت;اِكْتَنَتَ;فعل;"خضع;رضي";"خَضَعَ;رَضِيَ"
981;اكتنز(المال);اِكْتَنَزَ(المالَ);فعل;"ادّخر;جمع";"اِدَّخَرَ;جَمَعَ"
982;اكتناع;اِكْتِنَاع;مصدر;"اجتماع";"اِجْتِمَاع"
983;اكتنع(القوم);اِكْتَنَعَ(القوم);فعل;"اجتمع";"اِجْتَمَعَ"
984;اكتهى;اِكْتَهَى;فعل;"احترم;عظّم";"اِحْتَرَمَ;عَظَّمَ"
985;اكتهاء;اِكْتِهَاء;مصدر;"احترام;تعظيم";"اِحْتِرِام;تَعْظِيم"
986;إكتثار;إِكْتِثَار;مصدر;"كثرة(المال);اغتناء;إتيان(بالكثير)";"كَثْرَة(المال);اِغْتِنَاء;إِتْيان(بالكَثير)"
987;أكثب;أَكْثَبَ;فعل;"قرب;دنا";"قَرُبَ;دَنَا"
988;أكثر;أَكْثَرَ;فعل;"كثر(ماله);اغتنى;أتى(بالكثير)";"كَثُرَ(ماله);اِغْتَنى;أَتَى(بالكثير)"
989;أكثر;أَكْثَر;فعل;" أغزر;أوفر";" أَغْزَر;أَوْفَر"
990;أكثرية;أَكْثَرِية;اسم;"غالبية";"غَالبية"
991;أكثم;أَكْثَم;فعل;"شبعان";"شَبْعَان"
992;أكثم (الإناء);أَكْثَمَ (الإِناء);فعل;"ملأ";"مَلأَ"
993;أكثم (في بيته);أَكْثَمَ (في بيته);فعل;"توارى (فيه);اختفى(فيه)";"تَوَارى (فيه);اِخْتَفَى(فيه)"
994;أكد;أَكدَّ;فعل;"بخل";"بَخُلَ"
995;أكد;أَكَّدَ;فعل;"قرّر;ثبّت";"قَرَّرَ;ثَبَّتَ"
996;أكدى;أَكْدَى;فعل;"افتقر(بعد غنى)";"اِفْتَقَرَ(بعد غنى)"
997;إكداء;إِكْدَاء;مصدر;"افتقار(بعد غنى)";"اِفْتِقَار(بعد غنى)"
998;إكداد;إِكْدَاد;مصدر;"بخل";"بُخْل"
999;أكداد(من القوم);أَكْدَادٌ(من القوم);اسم;"منهزمون";"مُنْهَزِمون"
1000;اكدر(اللون);اِكْدَرَّ(اللَّون);فعل;"مال(إلى السواد)";"مَالَ(إلى السَوادِ)"
1001;إكراء;إِكْرَاء;مصدر;"إيجار";"إِيجَار"
1002;أكرى;أَكْرَى;فعل;"أجّر";"أَجَّرَ"
1003;إكراب;إِكْرَاب;مصدر;"إحزان;إسراع";"إِحْزَان;إِسْرَاع"
1004;إكرام;إِكْرَام;مصدر;"تعظيم;تنزيه";"تَعْظِيم;تَنْزِيه"
1005;إكراه;إِكْرَاه;مصدر;"إجبار";"إِجْبَار"
1006;أكرش;أَكْرَش;اسم;"عظيم(البطن)";"عَظِيم(البطن)"
1007;أكرم;أَكْرَمَ;فعل;"عظّم;نزّه";"عَظَّمَ;نَزَّهَ"
1008;أكره;أَكْرَهَ;فعل;"أجبر";"أَجْبَرَ"
1009;أكزم;أَكْزَمَ;فعل;"انقبض";"اِنْقَبَضَ"
1010;أكزم(عن الطعام);أَكْزَمَ(عن الطعام);فعل;"أكثر(إلى الشبع)";"أَكْثَرَ(إلى الشبَعِ)"
1011;أكسى;أَكْسَى;فعل;"ألبس";"أَلْبَسَ"
1012;أكسب;أَكْسَبَ;فعل;" أربح";" أَرْبَحَ"
1013;أكشر(عن أسنانه);أَكْشَرَ(عن أَسنانه);فعل;"تهدّد;أخاف;";"تَهَدَّدَ;أَخَافَ;"
1014;أكص;أَكَصَّ;فعل;"هرب;انهزم;تراجع";"هَرَبَ;اِنْهِزَمَ;تَرَاجَعَ"
1015;إكصاص;إِكْصَاص;مصدر;"هروب;تراجع;انهزام";"هُرُوب;تَرَاجُع;اِنْهِزَام"
1016;أكع;أَكَعَّ;فعل;"أخاف";"أَخَافَ"
1017;أكعاء;أَكْعَاء;مصدر;"جبناء";"جُبَناء"
1018;إكعاب;إِكْعَاب;مصدر;"إسراع(في المشي)";"إِسْرَاع(في المشي)"
1019;إكعان;إِكْعَان;مصدر;"فتور (النشاط)";"فُتُور (النشاط)"
1020;أكعب;أَكْعَبَ;فعل;"أسرع(في المشي)";"أَسْرَعَ(في المشي)"
1021;أكعن (الرجل);أَكْعَنَ (الرجل);فعل;"فتر(نشاطه)";"فَتَرَ(نَشاطه)"
1022;إكفاح;إِكْفَاح;مصدر;"لجم";"لَجْم"
1023;أكفح(الدابة);أَكْفَحَ(الدَّابة);فعل;"جذب(بلجامهالتقف)";"جَذَبَ(بلجامهالتقف)"
1024;اكفهرار;اِكْفِهْرَار;مصدر;"عبوس;اشتداد;اسوداد";"عَبُوس;اِشْتِدَاد;اِسْوِدَاد"
1025;اكفهر(وجهه);اِكْفَهَرَ(وَجهُهُ);فعل;"عبس;تجهّم;";"عَبَسَ;تَجَهَّمَ;"
1026;أكلأ(المكان);أَكْلأَ(المكان);فعل;"أعشب;كثر(كلأه);";"أَعْشَبَ;كَثُرَ(كَلأَهُ);"
1027;أكلب;أَكْلَبَ;فعل;"عطش";"عَطِشَ"
1028;أكلح(الوجه);أَكْلَحَ(الوجه);فعل;"عبس;تكشّر;";"عَبَسَ;تَكَشَّرَ;"
1029;أكلف(به);أُكْلِفَ(به);فعل;"أغرم(به)";"أُغْرِمَ(به)"
1030;اكلولى;اِكْلَولَى;فعل;"انهزم";"اِنْهَزَمَ"
1031;أكمى(الشهادة);أَكْمَى(الشَهَادة);فعل;"كتم";"كَتَمَ"
1032;إكماد;إِكْمَاد;مصدر;"إحزان;إغمام;";"إِحْزَان;إِغْمَام;"
1033;أكمح(رأسه);أَكْمَحَ(رَأسَهُ);فعل;"رفع";"رَفَعَ"
1034;أكمخ;أَكْمَخَ;فعل;"تكبّر";"تَكَبَّرَ"
1035;أكمد;أَكْمَدَ;فعل;"أحزن;أغمّ;";"أَحْزَنَ;أَغَمَّ;"
1036;أكمش(في السير);أَكْمَشَ(في السير);فعل;"أسرع";"أَسْرَعَ"
1037;أكمش;أَكْمَش;فعل;"أعمى";"أَعْمَى"
1038;أكمل;أَكْمَلَ;فعل;"أتمّ";"أَتَمَّ"
1039;أكمن;أَكْمَنَ;فعل;"أخفى";"أَخْفَى"
1040;أكمه;أكْمَه;اسم;"أعمى(منذ الولادة)";"أَعْمَى(منذ الولادة)"
1041;أكن;أَكَنَّ;فعل;"أسرّ";"أَسَرَّ"
1042;إكنان;إِكْنَان;مصدر;"إسرار";"إِسْرَار"
1043;أكنه(الشيء);أَكْنَهَ(الشيء);فعل;"علم;عرف;";"عَلِمَ;عَرَفَ;"
1044;أكهى;أَكْهَى;اسم;"جبان;ضعيف;";"جَبَان;ضَعِيف;"
1045;أكهاء(الناس);أَكْهَاءُ(الناسِ);اسم;"نبلاء";"نُبَلاَء"
1046;إكهاد;إِكْهَاد;مصدر;"تعب";"تَعَب"
1047;أكهد;أَكْهَدَ;فعل;"تعب";"تَعِبَ"
1048;أكوم;أَكْوَم;اسم;"مترفع";"مُتَرَفِع"
1049;أكيد(من الشيء);أَكِيد(من الشيء);اسم;"موثوق;حتمي;";"مَوثُوق;حَتْمي;"
1050;لامحدود;لاَمَحْدُود;اسم;"لامتناهي";"لاَمُتَنَاهي"
1051;ألى;أَلَى;اسم;"نعمة";"نِعْمَة"
1052;ألاح(الشيء);أَلاَحَ(الشيء);فعل;"بدا;ظهر;";"بَدَا;ظَهَرَ;"
1053;إلاف;إِلاَف;اسم;"عهد";"عَهْد"
1054;ألأم(الجرح);أَلأَمَ(الجرح);فعل;"ضمّ;شدّ;";"ضَمَّ;شَدَّ;"
1055;ألأم(الشيء);أَلأَمَ(الشيء);فعل;"أصلح;جمع;شّد";"أَصْلَحَ;جَمَعَ;شَّدَ"
1056;ألب(القوم);أَلَبَ(القومُ);فعل;"تجمّع;تحشّد;";"تَجَمَّعَ;تَحَشَّد;"
1057;ألب(القوم);أَلَّبَ(القوم);فعل;"جمع(بينهم)";"جَمَعَ(بينَهم)"
1058;الب(بالمكان);اَلَبَّ(بالمكان);فعل;"أقام(فيه)";"أَقَامَ(فيه)"
1059;ألبد(بالمكان);أَلْبَدَ(بالمكان);فعل;"أقام(فيه)";"أَقَامَ(فيه)"
1060;ألبك(في منطقة);أَلْبَكَ(في منطِقة);فعل;"أخطأ";"أَخْطَأَ"
1061;التئام;اِلْتِئام;مصدر;"انضمام;التصاق;";"اِنْضِمَام;اِلْتِصَاق;"
1062;التاح;اِلْتَاحَ;مصدر;"عطش";"عَطِشَ"
1063;التاث(عليه الأمر);اِلْتَاثَ(عليه الأمر);مصدر;"اختلط;التبس;";"اِخْتلَطَ;اِلْتَبَسَ;"
1064;التأم(الجرح);اِلْتَأَمَ(الجرحُ);فعل;"التحم;برئ;";"اِلْتَِحَمَ;بَرِئَ;"
1065;التأم(الشمل);اِلْتَأَمَ(الشَّمل);فعل;"اجتمع";"اِجْتَمَعَ"
1066;التباس;اِلْتِبَاس;مصدر;"اختلاط;اشتباه;إشكال";"اِخْتِلاط;اِشْتِبَاه;ِِإِشْكَال"
1067;التباد;اِلْتِبَاد;مصدر;"تداخل";"تَدَاخُل"
1068;التباك;اِلْتِبَاك;مصدر;"اختلاط;التباس;";"اِخْتِلاَط;اِلْتِبَاس;"
1069;التبد(الشعر);اِلْتَبَدَ(الشَعرُ);فعل;"تداخل;لصق(بعضه ببعض);";"تَدَاخَلَ;لَصَقَ(بَعْضَه بِبَعْض);"
1070;التبس(عليه الأمر);اِلْتبَسَ(عَلَيه الأَمرُ);فعل;"اختلط;اشتبه;أشكل";"اِخْتَلَطَ;اِشْتَبَهَ;أَشْكَلَ"
1071;التبك;اِلْتَبَكَ;فعل;"التبس;اختلط;";"اِلْتَبَسَ;اِخْتَلَطَ;"
1072;التتب(الثوب);اِلْتَتَبَ(الثوب);فعل;"لبس;";"لَبِسَ;"
1073;التثق(الشيء);اِلْتَثَقَ(الشيء);فعل;"تبلّل;";"تَبَلَّلَ;"
1074;التثم;اِلْتَثَمَ;فعل;"انتقب;";"اِنْتَقَبَ;"
1075;التج(البحر);اِلْتَجَّ(البحر);فعل;"اضطرب;هاج";"اِضطَرَبَ;هَاجَ"
1076;التجاج;اِلْتِجَاج;مصدر;"اضطراب;هيجان";"اِضْطِرَاب;هَيَجَان"
1077;التحاد;اِلْتِحَاد;مصدر;"ميل;كفر";"مَيْل;كُفْر"
1078;التحد(إليه);اِلْتَحَدَ(إِلَيه);فعل;"مال(إليه);";"مَالَ(إِلَيه);"
1079;التحام;اِلْتِحَام;مصدر;"التصاق;التئام";"اِلْتِصاق;اِلْتِئَام"
1080;التحج(إليه);اِلْتَحَجَ(إِلَيْه);فعل;"مال(إليه);";"مَالَ(إِلَيه);"
1081;التحص(الأمر);اِلْتَحَصَ(الأمر);فعل;"اشتدّ;";"اِشْتَدَّ;"
