ID;WORD;VOCALIZED;WORD_TYPE;PLURAL;PLURAL_VOCALIZED
1407;حندس ;حندس ;اسم; حنادس; حنادس
1408;حنيرة ;حنيرة ;اسم; حنائر; حنائر
1409;حنش ;حنش ;اسم; أحناش; أحناش
1410;حنطة ;حنطة ;اسم; حنط; حنط
1411;حنفي ;حنفي ;اسم; أحناف; أحناف
1412;حنيف ;حنيف ;اسم; حنفاء; حنفاء
1413;حنيق ;حنيق ;اسم; حنق; حنق
1414;حناك ;حناك ;اسم; حنك; حنك
1415;حنك ;حنك ;اسم; أحناك; أحناك
1416;حنك ;حنك ;اسم; أحناك; أحناك
1417;حنيك ;حنيك ;اسم; حنك; حنك
1418;محنك ;محنك ;اسم; محانك; محانك
1419;حنكل ;حنكل ;اسم; حناكل; حناكل
1420;حنكلة ;حنكلة ;اسم; حناكل; حناكل
1421;أحنى ;أحنى ;اسم; حنو; حنو
1422;حانوت ;حانوت ;اسم; حوانيت; حوانيت
1423;حانية ;حانية ;اسم; حوان; حوان
1424;حنو ;حنو ;اسم; أحناء; أحناء
1425;حنية ;حنية ;اسم; حني; حني
1426;حوباء ;حوباء ;اسم; حوباوات; حوباوات
1427;حوبة ;حوبة ;اسم; حوب; حوب
1428;حوت ;حوت ;اسم; حيتان; حيتان
1429;حائجة ;حائجة ;اسم; حوائج; حوائج
1430;حاجة ;حاجة ;اسم; حاج; حاج
1431;غليظة ;غليظة ;اسم; حواجل; حواجل
1432;حاذ ;حاذ ;اسم; أحواذ; أحواذ
1433;حوار ;حوار ;اسم; أحورة; أحورة
1434;حواري ;حواري ;اسم; حواريون; حواريون
1435;حور ;حور ;اسم; أحوار; أحوار
1436;حوراء ;حوراء ;اسم; حور; حور
1437;حائس ;حائس ;اسم; حوس; حوس
1438;حوصل ;حوصل ;اسم; حواصل; حواصل
1439;حوصلة ;حوصلة ;اسم; حواصل; حواصل
1440;حوض ;حوض ;اسم; أحواض; أحواض
1441;حائط ;حائط ;اسم; حيطان; حيطان
1442;حوف ;حوف ;اسم; أحواف; أحواف
1443;محوقة ;محوقة ;اسم; محاوق; محاوق
1444;حوقلة ;حوقلة ;اسم; حواقل; حواقل
1445;حائل ;حائل ;اسم; حول; حول
1446;حول ;حول ;اسم; أحوال; أحوال
1447;حولي ;حولي ;اسم; حوالي; حوالي
1448;حيلة ;حيلة ;اسم; حول; حول
1449;محالة ;محالة ;اسم; محال; محال
1450;شيء ;شيء ;اسم; حوائم; حوائم
1451;شيء ;شيء ;اسم; حوائم; حوائم
1452;حومانة ;حومانة ;اسم; حومان; حومان
1453;حاوي ;حاوي ;اسم; حواة; حواة
1454;حاوياء ;حاوياء ;اسم; حوايا; حوايا
1455;حاوية ;حاوية ;اسم; حوايا; حوايا
1456;حواء ;حواء ;اسم; أحوية; أحوية
1457;حوية ;حوية ;اسم; حوايا; حوايا
1458;حيد ;حيد ;اسم; أحياد; أحياد
1459;حيدة ;حيدة ;اسم; حيد; حيد
1460;حائر ;حائر ;اسم; حيران; حيران
1461;حيضة ;حيضة ;اسم; حيض; حيض
1462;حافة ;حافة ;اسم; حيف; حيف
1463;حيف ;حيف ;اسم; حيوف; حيوف
1464;حيفة ;حيفة ;اسم; حيف; حيف
1465;حيل ;حيل ;اسم; أحيال; أحيال
1466;حائنة ;حائنة ;اسم; حوائن; حوائن
1467;حين ;حين ;اسم; أحيان; أحيان
1468;شريفة ;شريفة ;اسم; خواتين; خواتين
1469;خابية ;خابية ;اسم; الخوابي; الخوابي
1470;خباء ;خباء ;اسم; أخبية; أخبية
1471;خبيئة ;خبيئة ;اسم; خبايا; خبايا
1472;خاب ;خاب ;اسم; خواب; خواب
1473;خب ;خب ;اسم; أخباب; أخباب
1474;خب ;خب ;اسم; خبوب; خبوب
1475;خبة ;خبة ;اسم; خبب; خبب
1476;خبة ;خبة ;اسم; خبب; خبب
1477;خبة ;خبة ;اسم; خبب; خبب
1478;خبيبة ;خبيبة ;اسم; خبائب; خبائب
1479;خبت ;خبت ;اسم; خبوت; خبوت
1480;خبث ;خبث ;اسم; أخباث; أخباث
1481;خبر ;خبر ;اسم; أخبار; أخبار
1482;خبر ;خبر ;اسم; خبور; خبور
1483;خبر ;خبر ;اسم; خبور; خبور
1484;خبراء ;خبراء ;اسم; الخبارى; الخبارى
1485;خبرة ;خبرة ;اسم; خبر; خبر
1486;مخبر ;مخبر ;اسم; مخابر; مخابر
1487;مخبز ;مخبز ;اسم; مخابز; مخابز
1488;خبيص ;خبيص ;اسم; أخبصة; أخبصة
1489;مخبصة ;مخبصة ;اسم; مخابص; مخابص
1490;خباط ;خباط ;اسم; خبط; خبط
1491;خبطة ;خبطة ;اسم; خبط; خبط
1492;خبطة ;خبطة ;اسم; خبط; خبط
1493;خبيط ;خبيط ;اسم; خبط; خبط
1494;مخبط ;مخبط ;اسم; مخابط; مخابط
1495;ختيعة ;ختيعة ;اسم; ختاع; ختاع
1496;خاتام ;خاتام ;اسم; خواتيم; خواتيم
1497;ختن ;ختن ;اسم; أختان; أختان
1498;خث ;خث ;اسم; أخثاث; أخثاث
1499;خثرمة ;خثرمة ;اسم; خثارم; خثارم
1500;خثى ;خثى ;اسم; أخثاء; أخثاء
1501;خثي ;خثي ;اسم; أخثاء; أخثاء
1502;خادبة ;خادبة ;اسم; خوادب; خوادب
1503;خيدب ;خيدب ;اسم; خيادب; خيادب
1504;خيدبة ;خيدبة ;اسم; خيادب; خيادب
1505;مخداج ;مخداج ;اسم; مخاديج; مخاديج
1506;أخدود ;أخدود ;اسم; أخاديد; أخاديد
1507;خد ;خد ;اسم; خدود; خدود
1508;خد ;خد ;اسم; أخدة; أخدة
1509;خدة ;خدة ;اسم; خدد; خدد
1510;مخدة ;مخدة ;اسم; مخاد; مخاد
1511;أخدور ;أخدور ;اسم; أخادير; أخادير
1512;خدر ;خدر ;اسم; خدور; خدور
1513;مخدر ;مخدر ;اسم; مخدرات; مخدرات
1514;خدش ;خدش ;اسم; خدوش; خدوش
1515;خادع ;خادع ;اسم; خوادع; خوادع
1516;خادعة ;خادعة ;اسم; خوادع; خوادع
1517;خدعة ;خدعة ;اسم; خدع; خدع
1518;خدوع ;خدوع ;اسم; خدع; خدع
1519;مخدع ;مخدع ;اسم; مخادع; مخادع
1520;خدفة ;خدفة ;اسم; خدف; خدف
1521;خدل ;خدل ;اسم; خدال; خدال
1522;خدمة ;خدمة ;اسم; خدم; خدم
1523;خدن ;خدن ;اسم; أخدان; أخدان
1524;خذروف ;خذروف ;اسم; خذاريف; خذاريف
1525;مخدعة ;مخدعة ;اسم; مخاذع; مخاذع
1526;مخدعة ;مخدعة ;اسم; خذف; خذف
1527;مخذفة ;مخذفة ;اسم; مخاذف; مخاذف
1528;مخذم ;مخذم ;اسم; مخادم; مخادم
1529;خرء ;خرء ;اسم; خروء; خروء
1530;مخرأة ;مخرأة ;اسم; مخارئ; مخارئ
1531;مخرؤة ;مخرؤة ;اسم; مخارئ; مخارئ
1532;خرب ;خرب ;اسم; خراب; خراب
1533;خربة ;خربة ;اسم; خرب; خرب
1534;خربة ;خربة ;اسم; خرب; خرب
1535;خربة ;خربة ;اسم; خرب; خرب
1536;خرباش ;خرباش ;اسم; خرابيش; خرابيش
1537;خرت ;خرت ;اسم; أخرات; أخرات
1538;خرتة ;خرتة ;اسم; خرت; خرت
1539;خريت ;خريت ;اسم; خراريت; خراريت
1540;مخرت ;مخرت ;اسم; مخارت; مخارت
1541;خرثي ;خرثي ;اسم; خراثي; خراثي
1542;خارجي ;خارجي ;اسم; خارجية; خارجية
1543;خراج ;خراج ;اسم; أخراج; أخراج
1544;خرج ;خرج ;اسم; أخراج; أخراج
1545;خرج ;خرج ;اسم; خرجة; خرجة
1546;مخرج ;مخرج ;اسم; مخارج; مخارج
1547;خرخر ;خرخر ;اسم; خراخر; خراخر
1548;خرخور ;خرخور ;اسم; خراخير; خراخير
1549;خردل ;خردل ;اسم; خرادل; خرادل
1550;خردولة ;خردولة ;اسم; خراديل; خراديل
1551;خرارة ;خرارة ;اسم; خرار; خرار
1552;خر ;خر ;اسم; خررة; خررة
1553;مكان ;مكان ;اسم; أخرة; أخرة
1554;خرزة ;خرزة ;اسم; خرز; خرز
1555;خرزة ;خرزة ;اسم; خرز; خرز
1556;مخراز ;مخراز ;اسم; مخاريز; مخاريز
1557;مخرز ;مخرز ;اسم; مخارز; مخارز
1558;خرس ;خرس ;اسم; خروس; خروس
1559;خرس ;خرس ;اسم; أخراس; أخراس
1560;خرساء ;خرساء ;اسم; خرس; خرس
1561;خراش ;خراش ;اسم; أخرشة; أخرشة
1562;خرش ;خرش ;اسم; خروش; خروش
1563;خرش ;خرش ;اسم; خروش; خروش
1564;خرشاء ;خرشاء ;اسم; خراشي; خراشي
1565;خرشاء ;خرشاء ;اسم; خرش; خرش
1566;مخراش ;مخراش ;اسم; مخاريش; مخاريش
1567;مخرش ;مخرش ;اسم; مخارش; مخارش
1568;مخرشة ;مخرشة ;اسم; مخارش; مخارش
1569;خرشوم ;خرشوم ;اسم; خراشيم; خراشيم
1570;خراص ;خراص ;اسم; خرص; خرص
1571;خرص ;خرص ;اسم; أخراص; أخراص
1572;خرص ;خرص ;اسم; أخراص; أخراص
1573;خرص ;خرص ;اسم; أخراص; أخراص
1574;خرصة ;خرصة ;اسم; خرص; خرص
1575;مخرص ;مخرص ;اسم; مخارص; مخارص
1576;خريطة ;خريطة ;اسم; خرائط; خرائط
1577;مخراط ;مخراط ;اسم; مخاريط; مخاريط
1578;مخرط ;مخرط ;اسم; مخارط; مخارط
1579;مخرطة ;مخرطة ;اسم; مخارط; مخارط
1580;خرطوم ;خرطوم ;اسم; خراطيم; خراطيم
1581;غصون ;غصون ;اسم; خراعب; خراعب
1582;خرعوب ;خرعوب ;اسم; خزاعيب; خزاعيب
1583;خرعوبة ;خرعوبة ;اسم; خراعيب; خراعيب
1584;خارف ;خارف ;اسم; خراف; خراف
1585;خروف ;خروف ;اسم; خراف; خراف
1586;خروفة ;خروفة ;اسم; خرائف; خرائف
1587;مخرف ;مخرف ;اسم; مخارف; مخارف
1588;مخرف ;مخرف ;اسم; مخارف; مخارف
1589;مخرفة ;مخرفة ;اسم; مخارف; مخارف
1590;خرق ;خرق ;اسم; خرارق; خرارق
1591;خرق ;خرق ;اسم; خروق; خروق
1592;خرق ;خرق ;اسم; أخراق; أخراق
1593;خرقة ;خرقة ;اسم; خرق; خرق
1594;أخرم ;أخرم ;اسم; خرم; خرم
1595;أخرم ;أخرم ;اسم; أخارم; أخارم
1596;خرم ;خرم ;اسم; خروم; خروم
1597;خرم ;خرم ;اسم; خروم; خروم
1598;خورمة ;خورمة ;اسم; خورم; خورم
1599;مخرم ;مخرم ;اسم; مخارم; مخارم
1600;خرمل ;خرمل ;اسم; خرامل; خرامل
1601;خرنف ;خرنف ;اسم; خرانف; خرانف
1602;خرنفة ;خرنفة ;اسم; خرانف; خرانف
1603;خرنق ;خرنق ;اسم; خرانق; خرانق
1604;خيزران ;خيزران ;اسم; خيازر; خيازر
1605;خز ;خز ;اسم; خزوز; خزوز
1606;خزز ;خزز ;اسم; خزاز; خزاز
1607;خزامة ;خزامة ;اسم; خزائم; خزائم
1608;خزومة ;خزومة ;اسم; خزائم; خزائم
1609;خزانة ;خزانة ;اسم; خزائن; خزائن
1610;مخزاة ;مخزاة ;اسم; المخازي; المخازي
1611;خسيل ;خسيل ;اسم; خسائل; خسائل
1612;خسا ;خسا ;اسم; المخاسي; المخاسي
1613;خشب ;خشب ;اسم; خشب; خشب
1614;خشاب ;خشاب ;اسم; خشابة; خشابة
1615;خشيب ;خشيب ;اسم; خشب; خشب
1616;خشرم ;خشرم ;اسم; خشارم; خشارم
1617;خشاش ;خشاش ;اسم; أخشة; أخشة
1618;خشاش ;خشاش ;اسم; أخشة; أخشة
1619;خش ;خش ;اسم; أخشاش; أخشاش
1620;خشاء ;خشاء ;اسم; خشاوات; خشاوات
1621;خشعة ;خشعة ;اسم; خشع; خشع
1622;خشف ;خشف ;اسم; أخشاف; أخشاف
1623;خشف ;خشف ;اسم; خشوف; خشوف
1624;خشوف ;خشوف ;اسم; خشف; خشف
1625;خشيف ;خشيف ;اسم; خشف; خشف
1626;مخشف ;مخشف ;اسم; مخاشف; مخاشف
1627;مخشلة ;مخشلة ;اسم; مخاشل; مخاشل
1628;خشناء ;خشناء ;اسم; خشن; خشن
1629;خصب ;خصب ;اسم; أخصاب; أخصاب
1630;خصار ;خصار ;اسم; خصر; خصر
1631;خصر ;خصر ;اسم; خصور; خصور
1632;مخصرة ;مخصرة ;اسم; مخاصر; مخاصر
1633;خاصة ;خاصة ;اسم; و; و
1634;خصاصة ;خصاصة ;اسم; خصاص; خصاص
1635;خصاصة ;خصاصة ;اسم; خصاص; خصاص
1636;خص ;خص ;اسم; أخصاص; أخصاص
1637;خصيصة ;خصيصة ;اسم; خصائص; خصائص
1638;خصفة ;خصفة ;اسم; خصاف; خصاف
1639;خصفة ;خصفة ;اسم; خصف; خصف
1640;خصفة ;خصفة ;اسم; خصف; خصف
1641;خصيفة ;خصيفة ;اسم; خصيف; خصيف
1642;مخصف ;مخصف ;اسم; مخاصف; مخاصف
1643;خصلة ;خصلة ;اسم; خصال; خصال
1644;خصلة ;خصلة ;اسم; خصل; خصل
1645;خصلة ;خصلة ;اسم; خصل; خصل
1646;خصيلة ;خصيلة ;اسم; خصيل; خصيل
1647;مخصال ;مخصال ;اسم; مخاصيل; مخاصيل
1648;مخصل ;مخصل ;اسم; مخاصل; مخاصل
1649;أخصوم ;أخصوم ;اسم; أخاصيم; أخاصيم
1650;خصم ;خصم ;اسم; خصوم; خصوم
1651;خصم ;خصم ;اسم; خصوم; خصوم
1652;خصم ;خصم ;اسم; أخصام; أخصام
1653;صغيرة ;صغيرة ;اسم; خصن; خصن
1654;خصية ;خصية ;اسم; خصى; خصى
1655;خاضب ;خاضب ;اسم; خواضب; خواضب
1656;خضب ;خضب ;اسم; خضوب; خضوب
1657;مخضب ;مخضب ;اسم; مخاضب; مخاضب
1658;مخضبة ;مخضبة ;اسم; مخاضب; مخاضب
1659;خضاخض ;خضاخض ;اسم; خضاخض; خضاخض
1660;خضخض ;خضخض ;اسم; خضاخض; خضاخض
1661;مخضد ;مخضد ;اسم; مخاضد; مخاضد
1662;أخضر ;أخضر ;اسم; خضر; خضر
1663;خضراء ;خضراء ;اسم; خضراوات; خضراوات
1664;خضرة ;خضرة ;اسم; خضر; خضر
1665;خضيرة ;خضيرة ;اسم; خضائر; خضائر
1666;مخضار ;مخضار ;اسم; مخاضير; مخاضير
1667;مخضر ;مخضر ;اسم; مخاضر; مخاضر
1668;خضارب ;خضارب ;اسم; خضارب; خضارب
1669;خضارم ;خضارم ;اسم; خضارم; خضارم
1670;خضرم ;خضرم ;اسم; خضارم; خضارم
1671;خضرم ;خضرم ;اسم; خضارم; خضارم
1672;خضعة ;خضعة ;اسم; خضع; خضع
1673;خضوع ;خضوع ;اسم; خضع; خضع
1674;خضيعة ;خضيعة ;اسم; خضائع; خضائع
1675;خضلة ;خضلة ;اسم; خضلات; خضلات
1676;خضيلة ;خضيلة ;اسم; خضائل; خضائل
1677;خضيمة ;خضيمة ;اسم; خضائم; خضائم
1678;مخضن ;مخضن ;اسم; مخاضن; مخاضن
1679;خطء ;خطء ;اسم; أخطاء; أخطاء
1680;خطاء ;خطاء ;اسم; أخطئة; أخطئة
1681;خطأ ;خطأ ;اسم; أخطاء; أخطاء
1682;خطيئة ;خطيئة ;اسم; خطايا; خطايا
1683;خطب ;خطب ;اسم; خطوب; خطوب
1684;خطب ;خطب ;اسم; أخطاب; أخطاب
1685;خطباء ;خطباء ;اسم; خطب; خطب
1686;خطبة ;خطبة ;اسم; خطب; خطب
1687;خطيب ;خطيب ;اسم; خطباء; خطباء
1688;خاطر ;خاطر ;اسم; خواطر; خواطر
1689;خاطرة ;خاطرة ;اسم; خواطر; خواطر
1690;خطر ;خطر ;اسم; خطور; خطور
1691;خطر ;خطر ;اسم; أخطار; أخطار
1692;خطر ;خطر ;اسم; أخطار; أخطار
1693;خطير ;خطير ;اسم; خطر; خطر
1694;خط ;خط ;اسم; خطوط; خطوط
1695;خط ;خط ;اسم; خطوط; خطوط
1696;خط ;خط ;اسم; أخطاط; أخطاط
1697;خطة ;خطة ;اسم; خطط; خطط
1698;خطة ;خطة ;اسم; خطط; خطط
1699;مخطاط ;مخطاط ;اسم; مخاطيط; مخاطيط
1700;مخط ;مخط ;اسم; مخاط; مخاط
1701;مخطوط ;مخطوط ;اسم; مخطوطات; مخطوطات
1702;خاطف ;خاطف ;اسم; خواطف; خواطف
1703;خاطوف ;خاطوف ;اسم; خواطيف; خواطيف
1704;خطاف ;خطاف ;اسم; خطاطيف; خطاطيف
1705;خطيفة ;خطيفة ;اسم; خطائف; خطائف
1706;مخطف ;مخطف ;اسم; مخاطف; مخاطف
1707;أخطم ;أخطم ;اسم; خطم; خطم
1708;خطام ;خطام ;اسم; خطم; خطم
1709;خطم ;خطم ;اسم; خطوم; خطوم
1710;مخطم ;مخطم ;اسم; مخاطم; مخاطم
1711;مخطم ;مخطم ;اسم; مخاطم; مخاطم
1712;خطوة ;خطوة ;اسم; خطاء; خطاء
1713;خطوة ;خطوة ;اسم; خطى; خطى
1714;خافت ;خافت ;اسم; خوافت; خوافت
1715;خفير ;خفير ;اسم; خفراء; خفراء
1716;مخفر ;مخفر ;اسم; مخافر; مخافر
1717;خفض ;خفض ;اسم; خفوض; خفوض
1718;خف ;خف ;اسم; خفاف; خفاف
1719;خافق ;خافق ;اسم; خوافق; خوافق
1720;خافية ;خافية ;اسم; خواف; خواف
1721;خفاء ;خفاء ;اسم; أخفية; أخفية
1722;خفية ;خفية ;اسم; خفايا; خفايا
1723;أخقوق ;أخقوق ;اسم; أخاقيق; أخاقيق
1724;خق ;خق ;اسم; أخقاق; أخقاق
1725;خاقان ;خاقان ;اسم; خواقين; خواقين
1726;خلب ;خلب ;اسم; أخلاب; أخلاب
1727;مخلب ;مخلب ;اسم; مخالب; مخالب
1728;خليج ;خليج ;اسم; خلج; خلج
1729;مخلج ;مخلج ;اسم; مخالج; مخالج
1730;خلخال ;خلخال ;اسم; خلاخيل; خلاخيل
1731;خلخل ;خلخل ;اسم; خلاخل; خلاخل
1732;خلد ;خلد ;اسم; أخلاد; أخلاد
1733;خلدة ;خلدة ;اسم; خلدة; خلدة
1734;خليس ;خليس ;اسم; خلس; خلس
1735;خلط ;خلط ;اسم; أخلاط; أخلاط
1736;خليط ;خليط ;اسم; خلطاء; خلطاء
1737;مخلاط ;مخلاط ;اسم; مخاليط; مخاليط
1738;مخلط ;مخلط ;اسم; مخالط; مخالط
1739;خالع ;خالع ;اسم; خوالع; خوالع
1740;خلعة ;خلعة ;اسم; خلع; خلع
1741;خلعة ;خلعة ;اسم; خلع; خلع
1742;خليع ;خليع ;اسم; خلعاء; خلعاء
1743;خالف ;خالف ;اسم; خوالف; خوالف
1744;خالفة ;خالفة ;اسم; خوالف; خوالف
1745;خلف ;خلف ;اسم; أخلاف; أخلاف
1746;خلف ;خلف ;اسم; أخلاف; أخلاف
1747;خليف ;خليف ;اسم; خلف; خلف
1748;خليف ;خليف ;اسم; خلفاء; خلفاء
1749;خليفة ;خليفة ;اسم; خلفاء; خلفاء
1750;مخلاف ;مخلاف ;اسم; مخاليف; مخاليف
1751;مخلفة ;مخلفة ;اسم; مخالف; مخالف
1752;خلقاء ;خلقاء ;اسم; خلقاوات; خلقاوات
1753;خلق ;خلق ;اسم; خلوق; خلوق
1754;خلق ;خلق ;اسم; خلقان; خلقان
1755;خلق ;خلق ;اسم; أخلاق; أخلاق
1756;خليقة ;خليقة ;اسم; خليق; خليق
1757;خلال ;خلال ;اسم; أخلة; أخلة
1758;خلل ;خلل ;اسم; خلال; خلال
1759;خل ;خل ;اسم; خلول; خلول
1760;خل ;خل ;اسم; أخل; أخل
1761;خل ;خل ;اسم; أخلال; أخلال
1762;خلة ;خلة ;اسم; خلال; خلال
1763;خلة ;خلة ;اسم; خل; خل
1764;خلة ;خلة ;اسم; خلل; خلل
1765;خلة ;خلة ;اسم; خلل; خلل
1766;خلة ;خلة ;اسم; خلال; خلال
1767;خليل ;خليل ;اسم; أخلاء; أخلاء
1768;خليل ;خليل ;اسم; خلائل; خلائل
1769;مخلل ;مخلل ;اسم; مخللات; مخللات
1770;خلم ;خلم ;اسم; خلوم; خلوم
1771;خالي ;خالي ;اسم; أخلاء; أخلاء
1772;خلالة ;خلالة ;اسم; خلائل; خلائل
1773;خلو ;خلو ;اسم; أخلاء; أخلاء
1774;خلية ;خلية ;اسم; خلايا; خلايا
1775;خلية ;خلية ;اسم; خليات; خليات
1776;خلى ;خلى ;اسم; أخلاء; أخلاء
1777;خمار ;خمار ;اسم; أخمرة; أخمرة
1778;خمر ;خمر ;اسم; خمور; خمور
1779;خمس ;خمس ;اسم; أخماس; أخماس
1780;خمس ;خمس ;اسم; أخماس; أخماس
1781;خمس ;خمس ;اسم; أخماس; أخماس
1782;خميس ;خميس ;اسم; أخماس; أخماس
1783;خميس ;خميس ;اسم; أخمسة; أخمسة
1784;خامشة ;خامشة ;اسم; خوامش; خوامش
1785;خماشة ;خماشة ;اسم; خماشات; خماشات
1786;خمش ;خمش ;اسم; خموش; خموش
1787;خمصان ;خمصان ;اسم; خماص; خماص
1788;خامل ;خامل ;اسم; خملة; خملة
1789;خميلة ;خميلة ;اسم; خميل; خميل
1790;خميلة ;خميلة ;اسم; خمائل; خمائل
1791;خم ;خم ;اسم; خممة; خممة
1792;مخمة ;مخمة ;اسم; مخام; مخام
1793;خنب ;خنب ;اسم; أخناب; أخناب
1794;خنابس ;خنابس ;اسم; خنابس; خنابس
1795;خنث ;خنث ;اسم; أخناث; أخناث
1796;خنثى ;خنثى ;اسم; خناثى; خناثى
1797;مخناث ;مخناث ;اسم; مخانيث; مخانيث
1798;خنجر ;خنجر ;اسم; خناجر; خناجر
1799;خنجرة ;خنجرة ;اسم; خناجر; خناجر
1800;خندق ;خندق ;اسم; خنادق; خنادق
1801;خنذيذ ;خنذيذ ;اسم; خناذيذ; خناذيذ
1802;خنزير ;خنزير ;اسم; خنازير; خنازير
1803;خنوس ;خنوس ;اسم; خنس; خنس
1804;خنسير ;خنسير ;اسم; خناسير; خناسير
1805;صغرى ;صغرى ;اسم; خناصر; خناصر
1806;خنيف ;خنيف ;اسم; خنف; خنف
1807;خنفساء ;خنفساء ;اسم; خنفساوات; خنفساوات
1808;خناق ;خناق ;اسم; خوانيق; خوانيق
1809;خود ;خود ;اسم; خود; خود
1810;خوذة ;خوذة ;اسم; خوذ; خوذ
1811;خوران ;خوران ;اسم; خوارين; خوارين
1812;خوار ;خوار ;اسم; خوارات; خوارات
1813;خوار ;خوار ;اسم; خور; خور
1814;خوارة ;خوارة ;اسم; خور; خور
1815;مخاضة ;مخاضة ;اسم; مخاض; مخاض
1816;خوط ;خوط ;اسم; خيطان; خيطان
1817;خوع ;خوع ;اسم; أخواع; أخواع
1818;خائل ;خائل ;اسم; خول; خول
1819;خال ;خال ;اسم; أخوال; أخوال
1820;خولي ;خولي ;اسم; خول; خول
1821;خولي ;خولي ;اسم; خول; خول
1822;خوان ;خوان ;اسم; أخونة; أخونة
1823;خوان ;خوان ;اسم; أخونة; أخونة
1824;خير ;خير ;اسم; خيار; خيار
1825;خير ;خير ;اسم; أخيار; أخيار
1826;خير ;خير ;اسم; خيار; خيار
1827;خيس ;خيس ;اسم; أخياس; أخياس
1828;خيسة ;خيسة ;اسم; خيس; خيس
1829;خيش ;خيش ;اسم; أخياش; أخياش
1830;خيط ;خيط ;اسم; خيوط; خيوط
1831;خيط ;خيط ;اسم; خيطان; خيطان
1832;خيط ;خيط ;اسم; خيطان; خيطان
1833;خيف ;خيف ;اسم; أخياف; أخياف
1834;خيفانة ;خيفانة ;اسم; خيفان; خيفان
1835;أخيل ;أخيل ;اسم; خيل; خيل
1836;أخيل ;أخيل ;اسم; أخايل; أخايل
1837;خائل ;خائل ;اسم; خالة; خالة
1838;خال ;خال ;اسم; خيلان; خيلان
1839;خيال ;خيال ;اسم; أخيلة; أخيلة
1840;خيال ;خيال ;اسم; خيالة; خيالة
1841;مخيلة ;مخيلة ;اسم; مخايل; مخايل
1842;خيمة ;خيمة ;اسم; خيمات; خيمات
1843;دئث ;دئث ;اسم; أدآث; أدآث
1844;دأثاء ;دأثاء ;اسم; دآث; دآث
1845;دأداء ;دأداء ;اسم; دآدي; دآدي
1846;دئداء ;دئداء ;اسم; دآدي; دآدي
1847;دؤدؤ ;دؤدؤ ;اسم; دآدي; دآدي
1848;دأدأة ;دأدأة ;اسم; دآدي; دآدي
1849;دؤلول ;دؤلول ;اسم; دآليل; دآليل
1850;دابة ;دابة ;اسم; دواب; دواب
1851;دب ;دب ;اسم; دباب; دباب
1852;دبة ;دبة ;اسم; دباب; دباب
1853;دبة ;دبة ;اسم; دبب; دبب
1854;دبوب ;دبوب ;اسم; دبب; دبب
1855;دبيب ;دبيب ;اسم; دياديب; دياديب
1856;مدبة ;مدبة ;اسم; مداب; مداب
1857;دبادب ;دبادب ;اسم; دبادب; دبادب
1858;دبداب ;دبداب ;اسم; دباديب; دباديب
1859;دبدبة ;دبدبة ;اسم; دبادب; دبادب
1860;دابر ;دابر ;اسم; دوابر; دوابر
1861;دابرة ;دابرة ;اسم; دوابر; دوابر
1862;دبارة ;دبارة ;اسم; دبار; دبار
1863;دبر ;دبر ;اسم; أدبر; أدبر
1864;دبر ;دبر ;اسم; أدبر; أدبر
1865;دبر ;دبر ;اسم; أدبار; أدبار
1866;دبرة ;دبرة ;اسم; دبر; دبر
1867;دبرة ;دبرة ;اسم; دبر; دبر
1868;دبور ;دبور ;اسم; دبر; دبر
1869;أدبس ;أدبس ;اسم; دبس; دبس
1870;دبوس ;دبوس ;اسم; دبابيس; دبابيس
1871;دبسي ;دبسي ;اسم; دباسي; دباسي
1872;دبش ;دبش ;اسم; أدباش; أدباش
1873;دباغ ;دباغ ;اسم; دبغ; دبغ
1874;دبغ ;دبغ ;اسم; أدباغ; أدباغ
1875;دبغة ;دبغة ;اسم; دبغ; دبغ
1876;مدبغة ;مدبغة ;اسم; مدابغ; مدابغ
1877;دبق ;دبق ;اسم; أدباق; أدباق
1878;دبال ;دبال ;اسم; أدبلة; أدبلة
1879;دبل ;دبل ;اسم; دبول; دبول
1880;دبل ;دبل ;اسم; دبول; دبول
1881;دبلة ;دبلة ;اسم; دبل; دبل
1882;دبول ;دبول ;اسم; دبل; دبل
1883;دوبل ;دوبل ;اسم; دوابل; دوابل
1884;مدباة ;مدباة ;اسم; مداب; مداب
1885;دث ;دث ;اسم; دثاث; دثاث
1886;دثاث ;دثاث ;اسم; دثاث; دثاث
1887;دثة ;دثة ;اسم; دثث; دثث
1888;دثار ;دثار ;اسم; دثر; دثر
1889;دثر ;دثر ;اسم; أدثار; أدثار
1890;دجاجة ;دجاجة ;اسم; دجاج; دجاج
1891;دجة ;دجة ;اسم; دجج; دجج
1892;دجوج ;دجوج ;اسم; دجج; دجج
1893;ديجوج ;ديجوج ;اسم; دياجيج; دياجيج
1894;ديجور ;ديجور ;اسم; دياجير; دياجير
1895;دجم ;دجم ;اسم; دجوم; دجوم
1896;دجمة ;دجمة ;اسم; دجم; دجم
1897;دجمة ;دجمة ;اسم; دجم; دجم
1898;داجن ;داجن ;اسم; دواجن; دواجن
1899;داجنة ;داجنة ;اسم; دواجن; دواجن
1900;دجن ;دجن ;اسم; أدجان; أدجان
1901;دجنة ;دجنة ;اسم; دجن; دجن
1902;مدجان ;مدجان ;اسم; مداجين; مداجين
1903;داجية ;داجية ;اسم; دواج; دواج
1904;دجة ;دجة ;اسم; دجى; دجى
