ID;INVERSED;VOCALIZED;WORD_TYPE
6627;ايز;زَيَّا;فعل
6628;ايزت;تَزَيَّا;فعل
6629;بأس;سَأَبَ;فعل
6630;بئس;سَئِبَ;فعل
6631;دأس;سَأَدَ;فعل
6632;دئس;سَئِدَ;فعل
6633;دأسأ;أَسْأَدَ;فعل
6634;رأس;سَأَرَ;فعل
6635;رئس;سَئِرَ;فعل
6636;رأسأ;أَسْأَرَ;فعل
6637;رأست;تَسَأَّرَ;فعل
6638;فأس;سَأَفَ;فعل
6639;فؤس;سَؤُفَ;فعل
6640;فئس;سَئِفَ;فعل
6641;فأسنا;اِنْسَأَفَ;فعل
6642;لأس;سَأَلَ;فعل
6643;لءاس;ساءَلَ;فعل
6644;لأسأ;أَسْأَلَ;فعل
6645;لءاست;تَساءَلَ;فعل
6646;مئس;سَئِمَ;فعل
6647;مأسأ;أَسْأَمَ;فعل
6648;آس;سآ;فعل
6649;ىأس;سَأَى;فعل
6650;أبس;سَبَأَ;فعل
6651;أبسأ;أَسْبَأَ;فعل
6652;أبسنا;اِنْسَبَأَ;فعل
6653;أبتسا;اِسْتَبَأَ;فعل
6654;بس;سَبَّ;فعل
6655;ببس;سَبَّبَ;فعل
6656;باس;سابَّ;فعل
6657;ببست;تَسَبَّبَ;فعل
6658;باست;تَسابَّ;فعل
6659;بتسا;اِسْتَبَّ;فعل
6660;بستسا;اِسْتَسَبَّ;فعل
6661;تبس;سَبَتَ;فعل
6662;تبس;سَبَتَ;فعل
6663;تبس;سَبَّتَ;فعل
6664;تبسأ;أَسْبَتَ;فعل
6665;تبسنا;اِنْسَبَتَ;فعل
6666;جبست;تَسَبَّجَ;فعل
6667;حبس;سَبَحَ;فعل
6668;حبس;سَبَّحَ;فعل
6669;حبسأ;أَسْبَحَ;فعل
6670;خبس;سَبَخَ;فعل
6671;خبس;سَبِخَ;فعل
6672;خبس;سَبَّخَ;فعل
6673;خبسأ;أَسْبَخَ;فعل
6674;خبست;تَسَبَّخَ;فعل
6675;دبس;سَبَدَ;فعل
6676;دبس;سَبَّدَ;فعل
6677;دبسأ;أَسْبَدَ;فعل
6678;ربس;سَبَرَ;فعل
6679;ربسأ;أَسْبَرَ;فعل
6680;ربتسا;اِسْتَبَرَ;فعل
6681;طبس;سَبَطَ;فعل
6682;طبس;سَبُطَ;فعل
6683;طبس;سَبِطَ;فعل
6684;طبس;سَبَّطَ;فعل
6685;طبسأ;أَسْبَطَ;فعل
6686;عبس;سَبَعَ;فعل
6687;عبس;سَبَّعَ;فعل
6688;عبسأ;أَسْبَعَ;فعل
6689;عبتسا;اِسْتَبَعَ;فعل
6690;غبس;سَبَغَ;فعل
6691;غبسأ;أَسْبَغَ;فعل
6692;قبس;سَبَقَ;فعل
6693;قبس;سَبَّقَ;فعل
6694;قباس;سابَقَ;فعل
6695;قبسأ;أَسْبَقَ;فعل
6696;قباست;تَسابَقَ;فعل
6697;قبتسا;اِسْتَبَقَ;فعل
6698;كبس;سَبَكَ;فعل
6699;كبس;سَبَّكَ;فعل
6700;كبسنا;اِنْسَبَكَ;فعل
6701;لبس;سَبَّلَ;فعل
6702;لبسأ;أَسْبَلَ;فعل
6703;هبس;سَبَهَ;فعل
6704;هبس;سَبَّهَ;فعل
6705;ىبس;سَبَى;فعل
6706;ىبست;تَسَبَّى;فعل
6707;ىباست;تَسابَى;فعل
6708;ىبتسا;اِسْتَبَى;فعل
6709;رتس;سَتَرَ;فعل
6710;رتس;سَتَّرَ;فعل
6711;رتاس;ساتَرَ;فعل
6712;رتست;تَسَتَّرَ;فعل
6713;رتسنا;اِنْسَتَرَ;فعل
6714;رتتسا;اِسْتَتَرَ;فعل
6715;لتس;سَتَلَ;فعل
6716;لتس;سَتِلَ;فعل
6717;لتاس;ساتَلَ;فعل
6718;لتاست;تَساتَلَ;فعل
6719;هتس;سَتَهَ;فعل
6720;هتس;سَتِهَ;فعل
6721;جس;سَجَّ;فعل
6722;حجس;سَجَحَ;فعل
6723;حجس;سَجِحَ;فعل
6724;حجس;سَجَّحَ;فعل
6725;حجسأ;أَسْجَحَ;فعل
6726;دجس;سَجَدَ;فعل
6727;دجس;سَجِدَ;فعل
6728;دجسأ;أَسْجَدَ;فعل
6729;رجس;سَجَرَ;فعل
6730;رجس;سَجِرَ;فعل
6731;رجس;سَجَّرَ;فعل
6732;رجاس;ساجَرَ;فعل
6733;رجسنا;اِنْسَجَرَ;فعل
6734;سجس;سَجِسَ;فعل
6735;سجس;سَجَّسَ;فعل
6736;عجس;سَجَعَ;فعل
6737;عجس;سَجَّعَ;فعل
6738;فجس;سَجَفَ;فعل
6739;فجس;سَجِفَ;فعل
6740;فجس;سَجَّفَ;فعل
6741;فجسأ;أَسْجَفَ;فعل
6742;لجس;سَجَلَ;فعل
6743;لجس;سَجَّلَ;فعل
6744;لجاس;ساجَلَ;فعل
6745;لجسأ;أَسْجَلَ;فعل
6746;لجاست;تَساجَلَ;فعل
6747;لجسنا;اِنْسَجَلَ;فعل
6748;مجس;سَجَمَ;فعل
6749;مجسأ;أَسْجَمَ;فعل
6750;مجسنا;اِنْسَجَمَ;فعل
6751;نجس;سَجَنَ;فعل
6752;نجس;سَجَّنَ;فعل
6753;اجس;سَجا;فعل
6754;ىجس;سَجَّى;فعل
6755;ىجاس;ساجَى;فعل
6756;ىجسأ;أَسْجَى;فعل
6757;ىجست;تَسَجَّى;فعل
6758;بحس;سَحَبَ;فعل
6759;بحسأ;أَسْحَبَ;فعل
6760;بحست;تَسَحَّبَ;فعل
6761;بحسنا;اِنْسَحَبَ;فعل
6762;تحس;سَحَتَ;فعل
6763;تحس;سَحَّتَ;فعل
6764;تحسأ;أَسْحَتَ;فعل
6765;جحس;سَحَجَ;فعل
6766;جحس;سَحَّجَ;فعل
6767;جحست;تَسَحَّجَ;فعل
6768;جحسنا;اِنْسَحَجَ;فعل
6769;حس;سَحَّ;فعل
6770;حس;سَحَّ;فعل
6771;ححس;سَحَّحَ;فعل
6772;ححست;تَسَحَّحَ;فعل
6773;حسنا;اِنْسَحَّ;فعل
6774;رحس;سَحَرَ;فعل
6775;رحس;سَحِرَ;فعل
6776;رحس;سَحَّرَ;فعل
6777;رحسأ;أَسْحَرَ;فعل
6778;رحست;تَسَحَّرَ;فعل
6779;رحتسا;اِسْتَحَرَ;فعل
6780;طحس;سَحَطَ;فعل
6781;طحسنا;اِنْسَحَطَ;فعل
6782;فحس;سَحَفَ;فعل
6783;فحسأ;أَسْحَفَ;فعل
6784;قحس;سَحَقَ;فعل
6785;قحس;سَحُقَ;فعل
6786;قحس;سَحِقَ;فعل
6787;قحسأ;أَسْحَقَ;فعل
6788;قحسنا;اِنْسَحَقَ;فعل
6789;لحس;سَحَلَ;فعل
6790;لحاس;ساحَلَ;فعل
6791;لحسأ;أَسْحَلَ;فعل
6792;لحسنا;اِنْسَحَلَ;فعل
6793;محس;سَحَمَ;فعل
6794;محس;سَحَّمَ;فعل
6795;محسأ;أَسْحَمَ;فعل
6796;نحس;سَحَنَ;فعل
6797;نحاس;ساحَنَ;فعل
6798;احس;سَحا;فعل
6799;ىحس;سَحَى;فعل
6800;ىحس;سَحَّى;فعل
6801;ىحسأ;أَسْحَى;فعل
6802;ىحسنا;اِنْسَحَى;فعل
6803;ىحتسا;اِسْتَحَى;فعل
6804;خس;سَخَّ;فعل
6805;دخس;سَخَّدَ;فعل
6806;رخس;سَخَرَ;فعل
6807;رخس;سَخِرَ;فعل
6808;رخس;سَخَّرَ;فعل
6809;رخست;تَسَخَّرَ;فعل
6810;رخستسا;اِسْتَسْخَرَ;فعل
6811;طخس;سَخِطَ;فعل
6812;طخسأ;أَسْخَطَ;فعل
6813;طخست;تَسَخَّطَ;فعل
6814;فخس;سَخُفَ;فعل
6815;فخس;سَخَّفَ;فعل
6816;لخس;سَخَلَ;فعل
6817;لخس;سَخَّلَ;فعل
6818;لخسأ;أَسْخَلَ;فعل
6819;مخس;سَخَّمَ;فعل
6820;مخست;تَسَخَّمَ;فعل
6821;نخس;سَخَنَ;فعل
6822;نخس;سَخُنَ;فعل
6823;نخس;سَخِنَ;فعل
6824;نخس;سَخَّنَ;فعل
6825;نخسأ;أَسْخَنَ;فعل
6826;اخس;سَخا;فعل
6827;وخس;سَخُوَ;فعل
6828;يخس;سَخِيَ;فعل
6829;ىخس;سَخَّى;فعل
6830;ىخسأ;أَسْخَى;فعل
6831;ىخست;تَسَخَّى;فعل
6832;حدس;سَدَحَ;فعل
6833;دس;سَدَّ;فعل
6834;دس;سَدَّ;فعل
6835;ددس;سَدَّدَ;فعل
6836;دسأ;أَسَدَّ;فعل
6837;ددست;تَسَدَّدَ;فعل
6838;دسنا;اِنْسَدَّ;فعل
6839;دتسا;اِسْتَدَّ;فعل
6840;ردس;سَدَرَ;فعل
6841;ردس;سَدِرَ;فعل
6842;ردسأ;أَسْدَرَ;فعل
6843;ردست;تَسَدَّرَ;فعل
6844;ردسنا;اِنْسَدَرَ;فعل
6845;سدس;سَدَسَ;فعل
6846;سدسأ;أَسْدَسَ;فعل
6847;عدس;سَدَعَ;فعل
6848;فدس;سَدِفَ;فعل
6849;فدس;سَدَّفَ;فعل
6850;فدسأ;أَسْدَفَ;فعل
6851;كدس;سَدِكَ;فعل
6852;كدس;سَدَّكَ;فعل
6853;لدس;سَدَلَ;فعل
6854;لدس;سَدِلَ;فعل
6855;لدس;سَدَّلَ;فعل
6856;لدسأ;أَسْدَلَ;فعل
6857;لدسنا;اِنْسَدَلَ;فعل
6858;مدس;سَدَمَ;فعل
6859;مدس;سَدِمَ;فعل
6860;مدس;سَدَّمَ;فعل
6861;مدسنا;اِنْسَدَمَ;فعل
6862;ندس;سَدَنَ;فعل
6863;ادس;سَدا;فعل
6864;ىدس;سَدَى;فعل
6865;يدس;سَدِيَ;فعل
6866;ىدس;سَدَّى;فعل
6867;ىدسأ;أَسْدَى;فعل
6868;ىدست;تَسَدَّى;فعل
6869;ىدتسا;اِسْتَدَى;فعل
6870;أرس;سَرَأَ;فعل
6871;أرس;سَرَّأَ;فعل
6872;أرسأ;أَسْرَأَ;فعل
6873;برس;سَرَبَ;فعل
6874;برس;سَرِبَ;فعل
6875;برس;سَرَّبَ;فعل
6876;برسأ;أَسْرَبَ;فعل
6877;برست;تَسَرَّبَ;فعل
6878;برسنا;اِنْسَرَبَ;فعل
6879;جرس;سَرَجَ;فعل
6880;جرس;سَرِجَ;فعل
6881;جرس;سَرَّجَ;فعل
6882;جرسأ;أَسْرَجَ;فعل
6883;جرستسا;اِسْتَسْرَجَ;فعل
6884;حرس;سَرَحَ;فعل
6885;حرس;سَرِحَ;فعل
6886;حرس;سَرَّحَ;فعل
6887;حرست;تَسَرَّحَ;فعل
6888;حرسنا;اِنْسَرَحَ;فعل
6889;درس;سَرَدَ;فعل
6890;درس;سَرِدَ;فعل
6891;درس;سَرَّدَ;فعل
6892;درسأ;أَسْرَدَ;فعل
6893;درست;تَسَرَّدَ;فعل
6894;رس;سَرَّ;فعل
6895;رس;سَرَّ;فعل
6896;ررس;سَرَّرَ;فعل
6897;راس;سارَّ;فعل
6898;رسأ;أَسَرَّ;فعل
6899;ررست;تَسَرَّرَ;فعل
6900;راست;تَسارَّ;فعل
6901;رستسا;اِسْتَسَرَّ;فعل
6902;طرس;سَرَطَ;فعل
6903;طرس;سَرِطَ;فعل
6904;طرست;تَسَرَّطَ;فعل
6905;طرسنا;اِنْسَرَطَ;فعل
6906;طرتسا;اِسْتَرَطَ;فعل
6907;عرس;سَرُعَ;فعل
6908;عرس;سَرِعَ;فعل
6909;عراس;سارَعَ;فعل
6910;عرسأ;أَسْرَعَ;فعل
6911;عرست;تَسَرَّعَ;فعل
6912;عراست;تَسارَعَ;فعل
6913;فرس;سَرَفَ;فعل
6914;فرس;سَرِفَ;فعل
6915;فرسأ;أَسْرَفَ;فعل
6916;قرس;سَرَقَ;فعل
6917;قرس;سَرِقَ;فعل
6918;قرس;سَرَّقَ;فعل
6919;قراس;سارَقَ;فعل
6920;قرست;تَسَرَّقَ;فعل
6921;قرسنا;اِنْسَرَقَ;فعل
6922;قرتسا;اِسْتَرَقَ;فعل
6923;كرس;سَرِكَ;فعل
6924;كراست;تَسارَكَ;فعل
6925;مرس;سَرَّمَ;فعل
6926;مرست;تَسَرَّمَ;فعل
6927;ارس;سَرا;فعل
6928;ورس;سَرُوَ;فعل
6929;ىرس;سَرَّى;فعل
6930;ىرسأ;أَسْرَى;فعل
6931;ىرست;تَسَرَّى;فعل
6932;ىرسنا;اِنْسَرَى;فعل
6933;ىرس;سَرَى;فعل
6934;ىراس;سارَى;فعل
6935;ىرسأ;أَسْرَى;فعل
6936;ىرست;تَسَرَّى;فعل
6937;ىرتسا;اِسْتَرَى;فعل
6938;حطس;سَطَحَ;فعل
6939;حطس;سَطَّحَ;فعل
6940;حطست;تَسَطَّحَ;فعل
6941;حطسنا;اِنْسَطَحَ;فعل
6942;رطس;سَطَرَ;فعل
6943;رطس;سَطَّرَ;فعل
6944;رطسأ;أَسْطَرَ;فعل
6945;رطتسا;اِسْتَطَرَ;فعل
6946;عطس;سَطَعَ;فعل
6947;عطس;سَطِعَ;فعل
6948;مطس;سَطَمَ;فعل
6949;نطس;سَطَّنَ;فعل
6950;اطس;سَطا;فعل
6951;ىطاس;ساطَى;فعل
6952;ىطسأ;أَسْطَى;فعل
6953;بعس;سَعَّبَ;فعل
6954;بعست;تَسَعَّبَ;فعل
6955;بعسنا;اِنْسَعَبَ;فعل
6956;دعس;سَعَدَ;فعل
6957;دعس;سَعِدَ;فعل
6958;دعاس;ساعَدَ;فعل
6959;دعسأ;أَسْعَدَ;فعل
6960;دعستسا;اِسْتَسْعَدَ;فعل
6961;رعس;سَعَرَ;فعل
6962;رعس;سَعِرَ;فعل
6963;رعس;سَعَّرَ;فعل
6964;رعسأ;أَسْعَرَ;فعل
6965;رعست;تَسَعَّرَ;فعل
6966;رعتسا;اِسْتَعَرَ;فعل
6967;طعس;سَعَطَ;فعل
6968;طعسأ;أَسْعَطَ;فعل
6969;طعتسا;اِسْتَعَطَ;فعل
6970;فعس;سَعَفَ;فعل
6971;فعس;سَعِفَ;فعل
6972;فعاس;ساعَفَ;فعل
6973;فعسأ;أَسْعَفَ;فعل
6974;فعست;تَسَعَّفَ;فعل
6975;لعس;سَعَلَ;فعل
6976;لعس;سَعِلَ;فعل
6977;لعسأ;أَسْعَلَ;فعل
6978;لعستسا;اِسْتَسْعَلَ;فعل
6979;نعسأ;أَسْعَنَ;فعل
6980;نعست;تَسَعَّنَ;فعل
6981;ىعس;سَعَى;فعل
6982;ىعاس;ساعَى;فعل
6983;ىعسأ;أَسْعَى;فعل
6984;ىعاست;تَساعَى;فعل
6985;ىعستسا;اِسْتَسْعَى;فعل
6986;بغس;سَغَبَ;فعل
6987;بغس;سَغِبَ;فعل
6988;بغسأ;أَسْغَبَ;فعل
6989;دغس;سَغَدَ;فعل
6990;لغس;سَغِلَ;فعل
6991;مغس;سَغَمَ;فعل
6992;مغس;سَغَّمَ;فعل
6993;مغسأ;أَسْغَمَ;فعل
6994;تفس;سَفِتَ;فعل
6995;تفتسا;اِسْتَفَتَ;فعل
6996;حفس;سَفَحَ;فعل
6997;حفس;سَفَّحَ;فعل
6998;حفاس;سافَحَ;فعل
6999;حفاست;تَسافَحَ;فعل
7000;دفس;سَفَدَ;فعل
7001;دفس;سَفِدَ;فعل
7002;دفس;سَفَّدَ;فعل
7003;دفاس;سافَدَ;فعل
7004;دفسأ;أَسْفَدَ;فعل
7005;دفست;تَسَفَّدَ;فعل
7006;دفاست;تَسافَدَ;فعل
7007;دفستسا;اِسْتَسْفَدَ;فعل
7008;رفس;سَفَرَ;فعل
7009;رفس;سَفَرَ;فعل
7010;رفس;سَفَّرَ;فعل
7011;رفاس;سافَرَ;فعل
7012;رفسأ;أَسْفَرَ;فعل
7013;رفست;تَسَفَّرَ;فعل
7014;رفسنا;اِنْسَفَرَ;فعل
7015;رفستسا;اِسْتَسْفَرَ;فعل
7016;طفس;سَفُطَ;فعل
7017;طفس;سَفَّطَ;فعل
7018;طفست;تَسَفَّطَ;فعل
7019;طفتسا;اِسْتَفَطَ;فعل
7020;عفس;سَفَعَ;فعل
7021;عفس;سَفِعَ;فعل
7022;عفس;سَفَّعَ;فعل
7023;عفاس;سافَعَ;فعل
7024;عفست;تَسَفَّعَ;فعل
7025;عفتسا;اِسْتَفَعَ;فعل
7026;فس;سَفَّ;فعل
7027;فس;سَفَّ;فعل
7028;فس;سَفَّ;فعل
7029;فسأ;أَسَفَّ;فعل
7030;فتسا;اِسْتَفَّ;فعل
7031;كفس;سَفَكَ;فعل
7032;كفسنا;اِنْسَفَكَ;فعل
7033;لفس;سَفَلَ;فعل
7034;لفس;سَفُلَ;فعل
7035;لفس;سَفَّلَ;فعل
7036;لفست;تَسَفَّلَ;فعل
7037;لفتسا;اِسْتَفَلَ;فعل
7038;نفس;سَفَنَ;فعل
7039;نفس;سَفَنَ;فعل
7040;نفس;سَفَّنَ;فعل
7041;هفس;سَفَهَ;فعل
7042;هفس;سَفُهَ;فعل
7043;هفس;سَفِهَ;فعل
7044;هفس;سَفَّهَ;فعل
7045;هفاس;سافَهَ;فعل
7046;هفست;تَسَفَّهَ;فعل
7047;هفاست;تَسافَهَ;فعل
7048;افس;سَفا;فعل
7049;ىفس;سَفَى;فعل
7050;يفس;سَفِيَ;فعل
7051;ىفسأ;أَسْفَى;فعل
7052;بقس;سَقِبَ;فعل
7053;بقسأ;أَسْقَبَ;فعل
7054;بقاس;ساقَبَ;فعل
7055;بقاست;تَساقَبَ;فعل
7056;دقس;سَقَدَ;فعل
7057;رقس;سَقَرَ;فعل
7058;رقسأ;أَسْقَرَ;فعل
7059;طقس;سَقَطَ;فعل
7060;طقاس;ساقَطَ;فعل
7061;طقسأ;أَسْقَطَ;فعل
7062;طقست;تَسَقَّطَ;فعل
7063;طقاست;تَساقَطَ;فعل
7064;طقاسا;اِسّاقَطَ;فعل
7065;طقستسا;اِسْتَسْقَطَ;فعل
7066;عقس;سَقَعَ;فعل
7067;عقس;سَقَّعَ;فعل
7068;فقس;سَقَفَ;فعل
7069;فقس;سَقِفَ;فعل
7070;فقس;سَقَّفَ;فعل
7071;فقسأ;أَسْقَفَ;فعل
7072;فقست;تَسَقَّفَ;فعل
7073;لقس;سَقِلَ;فعل
7074;مقس;سَقُمَ;فعل
7075;مقس;سَقِمَ;فعل
7076;مقس;سَقَّمَ;فعل
7077;مقسأ;أَسْقَمَ;فعل
7078;ىقس;سَقَى;فعل
7079;ىقس;سَقَّى;فعل
7080;ىقاس;ساقَى;فعل
7081;ىقسأ;أَسْقَى;فعل
7082;ىقست;تَسَقَّى;فعل
7083;ىقتسا;اِسْتَقَى;فعل
7084;ىقستسا;اِسْتَسْقَى;فعل
7085;بكس;سَكَبَ;فعل
7086;بكسنا;اِنْسَكَبَ;فعل
7087;تكس;سَكَتَ;فعل
7088;تكس;سَكَّتَ;فعل
7089;تكسأ;أَسْكَتَ;فعل
7090;ركس;سَكَرَ;فعل
7091;ركس;سَكِرَ;فعل
7092;ركس;سَكَّرَ;فعل
7093;ركسأ;أَسْكَرَ;فعل
7094;ركاست;تَساكَرَ;فعل
7095;عكس;سَكَعَ;فعل
7096;عكس;سَكَّعَ;فعل
7097;عكست;تَسَكَّعَ;فعل
7098;فكس;سَكِفَ;فعل
7099;فكسأ;أَسْكَفَ;فعل
7100;فكست;تَسَكَّفَ;فعل
7101;كس;سَكَّ;فعل
7102;كس;سَكَّ;فعل
7103;ككست;تَسَكَّكَ;فعل
7104;كسنا;اِنْسَكَّ;فعل
7105;كتسا;اِسْتَكَّ;فعل
7106;مكس;سَكَمَ;فعل
7107;نكس;سَكَنَ;فعل
7108;نكس;سَكُنَ;فعل
7109;نكس;سَكَّنَ;فعل
7110;نكاس;ساكَنَ;فعل
7111;نكسأ;أَسْكَنَ;فعل
7112;نكست;تَسَكَّنَ;فعل
7113;نكاست;تَساكَنَ;فعل
7114;نكتسا;اِسْتَكَنَ;فعل
7115;ناكتسا;اِسْتَكانَ;فعل
7116;ألس;سَلَأَ;فعل
7117;ألتسا;اِسْتَلَأَ;فعل
7118;بلس;سَلَبَ;فعل
7119;بلس;سَلِبَ;فعل
7120;بلس;سَلَّبَ;فعل
7121;بلسأ;أَسْلَبَ;فعل
7122;بلست;تَسَلَّبَ;فعل
7123;بلتسا;اِسْتَلَبَ;فعل
7124;تلس;سَلَتَ;فعل
7125;تلسنا;اِنْسَلَتَ;فعل
7126;جلس;سَلَجَ;فعل
7127;جلست;تَسَلَّجَ;فعل
7128;جلتسا;اِسْتَلَجَ;فعل
7129;حلس;سَلَحَ;فعل
7130;حلس;سَلَّحَ;فعل
7131;حلسأ;أَسْلَحَ;فعل
7132;حلست;تَسَلَّحَ;فعل
7133;خلس;سَلَخَ;فعل
7134;خلس;سَلُخَ;فعل
7135;خلس;سَلَّخَ;فعل
7136;خلست;تَسَلَّخَ;فعل
7137;خلسنا;اِنْسَلَخَ;فعل
7138;سلس;سَلُسَ;فعل
7139;سلس;سَلِسَ;فعل
7140;سلس;سَلَّسَ;فعل
7141;سلسأ;أَسْلَسَ;فعل
7142;طلس;سَلُطَ;فعل
7143;طلس;سَلِطَ;فعل
7144;طلس;سَلَّطَ;فعل
7145;طلست;تَسَلَّطَ;فعل
7146;علس;سَلَعَ;فعل
7147;علس;سَلِعَ;فعل
7148;علس;سَلَّعَ;فعل
7149;علسأ;أَسْلَعَ;فعل
7150;علست;تَسَلَّعَ;فعل
7151;علسنا;اِنْسَلَعَ;فعل
7152;غلس;سَلَغَ;فعل
7153;غلس;سَلِغَ;فعل
7154;فلس;سَلَفَ;فعل
7155;فلس;سَلَّفَ;فعل
7156;فلاس;سالَفَ;فعل
7157;فلسأ;أَسْلَفَ;فعل
7158;فلست;تَسَلَّفَ;فعل
7159;فلاست;تَسالَفَ;فعل
7160;فلتسا;اِسْتَلَفَ;فعل
7161;فلستسا;اِسْتَسْلَفَ;فعل
7162;قلس;سَلَقَ;فعل
7163;قلسأ;أَسْلَقَ;فعل
7164;قلست;تَسَلَّقَ;فعل
7165;قلسنا;اِنْسَلَقَ;فعل
7166;كلس;سَلَكَ;فعل
7167;كلس;سَلَّكَ;فعل
7168;كلسأ;أَسْلَكَ;فعل
7169;كلست;تَسَلَّكَ;فعل
7170;كلسنا;اِنْسَلَكَ;فعل
7171;لس;سَلَّ;فعل
7172;لسأ;أَسَلَّ;فعل
7173;للست;تَسَلَّلَ;فعل
7174;لسنا;اِنْسَلَّ;فعل
7175;لتسا;اِسْتَلَّ;فعل
7176;ملس;سَلَمَ;فعل
7177;ملس;سَلِمَ;فعل
7178;ملس;سَلَّمَ;فعل
7179;ملاس;سالَمَ;فعل
7180;ملسأ;أَسْلَمَ;فعل
7181;ملست;تَسَلَّمَ;فعل
7182;ملاست;تَسالَمَ;فعل
7183;ملتسا;اِسْتَلَمَ;فعل
7184;ملستسا;اِسْتَسْلَمَ;فعل
7185;الس;سَلا;فعل
7186;يلس;سَلِيَ;فعل
7187;ىلس;سَلَّى;فعل
7188;ىلسأ;أَسْلَى;فعل
7189;ىلست;تَسَلَّى;فعل
7190;ىلسنا;اِنْسَلَى;فعل
7191;تمس;سَمَتَ;فعل
7192;تمس;سَمَّتَ;فعل
7193;تماس;سامَتَ;فعل
7194;تمست;تَسَمَّتَ;فعل
7195;جمس;سَمُجَ;فعل
7196;جمس;سَمَّجَ;فعل
7197;جمستسا;اِسْتَسْمَجَ;فعل
7198;حمس;سَمَحَ;فعل
7199;حمس;سَمُحَ;فعل
7200;حمس;سَمَّحَ;فعل
7201;حماس;سامَحَ;فعل
7202;حمسأ;أَسْمَحَ;فعل
7203;حمست;تَسَمَّحَ;فعل
7204;حماست;تَسامَحَ;فعل
7205;دمس;سَمَدَ;فعل
7206;دمس;سَمَّدَ;فعل
7207;دمسا;اِسْمَدَّ;فعل
7208;رمس;سَمَرَ;فعل
7209;رمس;سَمُرَ;فعل
7210;رمس;سَمِرَ;فعل
7211;رمس;سَمَّرَ;فعل
7212;رماس;سامَرَ;فعل
7213;رماست;تَسامَرَ;فعل
7214;رمسا;اِسْمَرَّ;فعل
7215;رامسا;اِسْمارَّ;فعل
7216;طمس;سَمَطَ;فعل
7217;طمس;سَمَّطَ;فعل
7218;طمست;تَسَمَّطَ;فعل
7219;عمس;سَمِعَ;فعل
7220;عمس;سَمَّعَ;فعل
7221;عمسأ;أَسْمَعَ;فعل
7222;عمست;تَسَمَّعَ;فعل
7223;عماست;تَسامَعَ;فعل
7224;عمتسا;اِسْتَمَعَ;فعل
7225;قمس;سَمَقَ;فعل
7226;كمس;سَمَكَ;فعل
7227;كمسنا;اِنْسَمَكَ;فعل
7228;كمتسا;اِسْتَمَكَ;فعل
7229;لمس;سَمَلَ;فعل
7230;لمس;سَمُلَ;فعل
7231;لمس;سَمَّلَ;فعل
7232;لمسأ;أَسْمَلَ;فعل
7233;لمست;تَسَمَّلَ;فعل
7234;لمتسا;اِسْتَمَلَ;فعل
7235;مس;سَمَّ;فعل
7236;ممس;سَمَّمَ;فعل
7237;مسأ;أَسَمَّ;فعل
7238;ممست;تَسَمَّمَ;فعل
7239;نمس;سَمَنَ;فعل
7240;نمس;سَمُنَ;فعل
7241;نمس;سَمِنَ;فعل
7242;نمس;سَمَّنَ;فعل
7243;نمسأ;أَسْمَنَ;فعل
7244;نمست;تَسَمَّنَ;فعل
7245;نمستسا;اِسْتَسْمَنَ;فعل
7246;همس;سَمَهَ;فعل
7247;همس;سَمَّهَ;فعل
7248;امس;سَما;فعل
7249;ىمس;سَمَّى;فعل
7250;ىماس;سامَى;فعل
7251;ىمسأ;أَسْمَى;فعل
7252;ىمست;تَسَمَّى;فعل
7253;ىماست;تَسامَى;فعل
7254;ىمتسا;اِسْتَمَى;فعل
7255;ىمستسا;اِسْتَسْمَى;فعل
7256;تنس;سَنَّتَ;فعل
7257;تنسأ;أَسْنَتَ;فعل
7258;تنست;تَسَنَّتَ;فعل
7259;جنس;سَنَجَ;فعل
7260;جنس;سَنَّجَ;فعل
7261;حنس;سَنَحَ;فعل
7262;حناس;سانَحَ;فعل
7263;حنست;تَسَنَّحَ;فعل
7264;حنستسا;اِسْتَسْنَحَ;فعل
7265;خنس;سَنَخَ;فعل
7266;خنس;سَنِخَ;فعل
7267;دنس;سَنَدَ;فعل
7268;دنس;سَنَّدَ;فعل
7269;دناس;سانَدَ;فعل
7270;دنسأ;أَسْنَدَ;فعل
7271;دناست;تَسانَدَ;فعل
7272;دنتسا;اِسْتَنَدَ;فعل
7273;رنس;سَنِرَ;فعل
7274;طنس;سَنُطَ;فعل
7275;طنس;سَنِطَ;فعل
7276;عنس;سَنُعَ;فعل
7277;عنسأ;أَسْنَعَ;فعل
7278;فنس;سَنَفَ;فعل
7279;فنسأ;أَسْنَفَ;فعل
7280;قنس;سَنِقَ;فعل
7281;قنسأ;أَسْنَقَ;فعل
7282;منس;سَنِمَ;فعل
7283;منس;سَنَّمَ;فعل
7284;منسأ;أَسْنَمَ;فعل
7285;منست;تَسَنَّمَ;فعل
7286;منتسا;اِسْتَنَمَ;فعل
7287;نس;سَنَّ;فعل
7288;ننس;سَنَّنَ;فعل
7289;نسأ;أَسَنَّ;فعل
7290;ننست;تَسَنَّنَ;فعل
7291;نتسا;اِسْتَنَّ;فعل
7292;نستسا;اِسْتَسَنَّ;فعل
7293;هنس;سَنِهَ;فعل
7294;هناس;سانَهَ;فعل
7295;هنست;تَسَنَّهَ;فعل
7296;انس;سَنا;فعل
7297;ىنس;سَنَى;فعل
7298;ينس;سَنِيَ;فعل
7299;ىنس;سَنَّى;فعل
7300;ىناس;سانَى;فعل
