ID;WORD;VOCALIZED;WORD_TYPE;ANTO_SET;ANTO_SET_VOCALIZED
2137;بات;بَاتّ;اسم;"واصل;معلّق;سمين;فطن;قوّي";"وَاصِل;مُعَلِّق;سَمِين;فَطِن;قَوِّي"
2138;باتر;بَاتِر;اسم;"واصل;كليل";"وَاصِل;كَلِيل"
2139;باتك;بَاتِك;اسم;"كليل";"كَلِيل"
2140;باث;بَاثَّ;فعل;"أسرّ;أخفى";"أَسَرَّ;أَخْفَى"
2141;باثق;بَاثِق;اسم;"فارغ;قليل";"فَارِغ;قَلِيل"
2142;باج (البرق);بَاجَ (البَرْقُ);فعل;"خبا";"خَبَا"
2143;باجد;بَاجِد;اسم;"راحل";"رَاحِل"
2144;باجل;بَاجِل;اسم;"حزين;هزيل";"حَزِين;هَزِيل"
2145;باح;بَاحَ;فعل;"أخفى;أضمر;كتم";"أَخْفَى;أَضْمَرَ;كَتَمَ"
2146;بلحت;بَلحَتَ;فعل;"خان";"خَانَ"
2147;باحر;بَاحِر;اسم;"فطن;صادق";"فَطِن;صَادِق"
2148;باحوراء;بَاحُورَاء;اسم;"برودة";"بُرُودَة"
2149;باخ;بَاخَ;فعل;"ثار;نشط";"ثَارَ;نَشُطَ"
2150;باخل;بَاخِل;اسم;"كريم;سخيّ";"كَرِيم;سَخِيّ"
2151;باد;بَادَ;فعل;"برز;بقي;دام";"بَرَزَ;بَقِيَ;دَامَ"
2152;بادئ;بَادِئ;اسم;"منتهي;خاتم";"مُنْتَهِي;خَاتِم"
2153;بادى (بالعداوة);بَادَى (بِالعَدَاوَةِ);فعل;"أضمرها";"أَضْمَرَهَا"
2154;بادر;بَادَرَ;فعل;"تأخّر";"تَأَخَّرَ"
2155;بادن;بَادِن;اسم;"نحيل;هزيل";"نَحِيل;هَزِيل"
2156;بادي;بَادِي;اسم;"خافي;مخفيّ";"خَافِي;مَخْفِيّ"
2157;بادية;بَادِيَة;اسم;"حاضرة;مدينة";"حَاضِرَة;مَدِينَة"
2158;باذ;بَاذّ;اسم;"مترف;جميل";"مُتْرَف;جَمِيل"
2159;باذأ;بَاذَأَ;فعل;"لاطف";"لاَطَفَ"
2160;باذخ;بَاذَخَ;فعل;"تواضع";"تَوَاضَعَ"
2161;باذخ;بَاذِخ;اسم;"متواضع";"مُتَوَاضِع"
2162;باذل;بَاذِل;اسم;"مقتّر;شحيح;ممسك";"مُقَتِّر;شَحِيح;مُمْسِك"
2163;بأر;بَأَرَ;فعل;"ردم;طمر";"رَدَمَ;طَمَرَ"
2164;بأر;بَأْر;اسم;"ردم";"رَدْم"
2165;بار;بَارَّ;فعل;"عقّ;أساء";"عَقَّ;أَسَاءَ"
2166;بار;بَارّ;اسم;"فاجر;ماجن;فاسق;عاقّ";"فَاجِر;مَاجِن;فَاسِق;عَاقّ"
2167;بارح;بَارَحَ;فعل;"لازم;استقرّ";"لاَزَمَ;اِسْتَقَرَّ"
2168;بارح;بَارِح;اسم;"سانح";"سَانِح"
2169;البارحة;البَارِحَة;اسم;"اليوم;الغد";"اليَوْم;الغَد"
2170;بارد;بَارِدٌ;اسم;"حارّ;دافئ;ساخن";"حَارٌّ;دَافِئٌ;سَاخِنٌ"
2171;بارز;بَارَزَ;فعل;"استسلم";"اِسْتَسْلَمَ"
2172;بارز;بَارِز;اسم;"مستتر;مختفي";"مُسْتَتِر;مُخْتَفِي"
2173;بارع;بَارِع;اسم;"فاشل;مخفق";"فَاشِل;مُخْفِق"
2174;بارك;بَارَكَ;فعل;"لعن";"لَعَنَ"
2175;باره;بَارِه;اسم;"سقيم;عليل";"سَقِيم;عَلِيل"
2176;باروك;بَارُوك;اسم;"شجاع";"شُجَاع"
2177;بؤس;بَؤُسَ;فعل;"ضعف";"ضَعُفَ"
2178;بؤس;بُؤْس;اسم;"سعادة";"سَعَادَة"
2179;بئس;بَئِسَ;فعل;"اكتفى;اغتنى;سعد";"اِكْتَفَى;اِغْتَنَى;سَعِدَ"
2180;بئس;بِئْسَ;فعل;"نعم";"نِعْمَ"
2181;باس;بَاسَ;فعل;"تواضع";"تَوَاضَعَ"
2182;بأس;بَأْس;اسم;"ضعف;طمأنينة";"ضُعْف;طُمَأْنِينَة"
2183;بأساء;بَأْسَاء;اسم;"سعادة;غنى";"سَعَادَة;غِنَى"
2184;باسر;بَاسِر;اسم;"مشرق";"مُشْرِق"
2185;باسط;بَاسِط;اسم;"قابض";"قَابِض"
2186;باسق;بَاسِق;اسم;"منخفض";"مُنْخَفِض"
2187;باسل;بَاسِل;اسم;"جبان";"جَبَان"
2188;باسم;بَاسِم;اسم;"عابس;عبوس";"عَابِس;عَبُوس"
2189;باش;بَاشّ;اسم;"عابس";"عَابِس"
2190;باش;بَاش;اسم;"تابع";"تَابِع"
2191;باشك;بَاشِك;اسم;"صادق";"صَادِق"
2192;باطأ;بَاطَأَ;فعل;"استعجل";"اِسْتَعْجَلَ"
2193;باطش;بَاطِش;اسم;"رؤوف";"رَؤُوف"
2194;باطل;بَاطِل;اسم;"حق";"حَق"
2195;باطن;بَاطِن;اسم;"ظاهر";"ظَاهِر"
2196;باع;بَاعَ;فعل;"اشترى";"اشْتَرَى"
2197;باعث;بَاعِث;اسم;"داعي;مانع";"دَاعِي;مَانِع"
2198;باعد;بَاعَدَ;فعل;"ألّف;قرّب;قارب";"أَلَّفَ;قَرَّبَ;قَارَبَ"
2199;باعد;بَاعِد;اسم;"قريب";"قَرِيب"
2200;باغى -ت (المرأة);بَاغَى -ت (المَرْأَةٌ);فعل;"عفّ -ت";"عَفَّ -ت"
2201;باغز;بَاغِز;اسم;"خمول;عفيف";"خَمُول;عَفِيف"
2202;باغض;بَاغَضَ;فعل;"حابب";"حَابَبَ"
2203;باغض;بَاغِض;اسم;"محب";"مُحِب"
2204;باغي;بَاغِي;اسم;"عادل;رحيم";"عَادِل;رَحِيم"
2205;باغية;بَاغِيَة;اسم;"عفيفة";"عَفِيفَة"
2206;باقر;بَاقِر;اسم;"حبلى;خصبة";"حُبْلَى;خِصْبَة"
2207;باقعة(من الرجال);بَاقِعَة(مِنَ الرِجَالِ);اسم;"غبيّ";"غَبِيّ"
2208;باقي;بَاقِي;اسم;"فاني;زائل;مضمحل;ذاهب";"فَانِي;زَائِل;مُضْمَحِل;ذَاهِب"
2209;باكى;بَاكَى;فعل;"ضاحك";"ضَاحَكَ"
2210;باكر;بَاكَرَ;فعل;"أمسى";"أَمْسَى"
2211;باكر;بَاكِر;اسم;"رائح";"رَائِح"
2212;باكرا;بَاكِرًا;اسم;"مساء";"مَسَاءً"
2213;باكي;بَاكِي;اسم;"ضاحك";"ضَاحِك"
2214;بؤل;بَؤُلَ;فعل;"قوي";"قَوِيَ"
2215;بالى;بَالَى;فعل;"تجاهل;أهمل";"تَجَاهَلَ;أَهْمَلَ"
2216;بالح;بَالِح;اسم;"خصبة";"خِصْبَة"
2217;بالع;بَالِع;اسم;"متقيّئ";"مُتَقَيِّئ"
2218;بالي;بَالِي;اسم;"جديد;قشيب";"جَدِيد;قَشِيب"
2219;بان;بَانَ;فعل;"خفي;اختفى;قرب";"خَفِيَ;اِخْتَفَى;قَرُبَ"
2220;باني;بَانِي;اسم;"مخرّب;مدمّر;مقوّض";"مُخَرِّب;مُدَمِّر;مُقَوِّض"
2221;باهى;بَاهَى;فعل;"أذعن;خضع";"أَذْعَنَ;خَضَعَ"
2222;باهظ;بَاهِظ;اسم;"بخس;زهيد";"بَخْس;زَهِيد"
2223;باهل(القوم);بَاهَلَ(القَوْمَ);فعل;"بارك";"بَارَكَ"
2224;بؤوح;بَؤُوح;اسم;"كتوم";"كَتُوم"
2225;بئيس;بَئِيس;اسم;"جبان";"جَبَان"
2226;بايع;بَايَعَ;فعل;"خذل;عارض";"خَذَلَ;عَارَضَ"
2227;بئيل;بَئِيل;اسم;"ممتلئ;بدين";"مُمْتَلِئ;بَدِين"
2228;باين;بَايَنَ;فعل;"شابه";"شَابَهَ"
2229;بب(من الغلمان);بَبّ(مِنَ الغِلْمَان);اسم;"ضعيف";"ضَعِيف"
2230;ببة;بَبَّة;اسم;"فطن";"فَطِن"
2231;بت;بَتَّ;فعل;"وصل;علّق";"وَصَلَ;عَلَّقَ"
2232;بت;بَتّ;اسم;"وصل;تعليق";"وَصْل;تَعْلِيق"
2233;بتت;بَتَّتَ;فعل;"وصّل";"وَصَّلَ"
2234;بتر;بَتْر;اسم;"وصل";"وَصْل"
2235;بتر;بَتَرَ;فعل;"وصل";"وَصَلَ"
2236;بتر(السيف);بَتَرَ(السَيْفُ);فعل;"كلّ;نبا";"كَلَّ;نَبَا"
2237;بتع;بَتْع;اسم;"ضعف";"ضُعْف"
2238;بتك;بَتَكَ;فعل;"وصل";"وَصَلَ"
2239;بتك;بَتْك;اسم;"وصل";"وَصْل"
2240;بتك;بَتَّكَ;فعل;"وصّل";"وَصَّلَ"
2241;بتل;بَتَلَ;فعل;"وصل";"وَصَلَ"
2242;بتل;بَتَّلَ;فعل;"وصّل";"وَصَّلَ"
2243;بتل;بَتْل;اسم;"وصل";"وَصْل"
2244;بتلاء;بَتْلاَء;اسم;"فتور;خمول";"فُتُور;خُمُول"
2245;بتول;بَتُول;اسم;"متزوّج";"مُتَزَوِّج"
2246;بتولية;بتُولِيَّة;اسم;"زواج";"زَوَاج"
2247;بتيل(من النساء);بَتِيل(مِنَ النِّسَاء);اسم;"متزوّجة";"مُتَزَوِّجَة"
2248;بث;بَثّ;اسم;"كتمان";"كِتْمِان"
2249;بث (الخبر);بَثَّ (الخَبَرَ);فعل;"كتم";"كَتَمَ"
2250;بثبث(الخبر);بَثْبَثَ(الخَبَرَ);فعل;"كتم";"كَتَمَ"
2251;بثبثة;بَثْبَثَة;اسم;"كتمان";"كِتْمِان"
2252;بج(الشيء);بَجَّ(الشَّيْءََ);فعل;"وصل";"وَصَلَ"
2253;بجاجة(من الناس);بَجَاجَة(مِنَ النَّاسِ);اسم;"أفاضل";"أَفَاضِل"
2254;بجاج;بَجَّاج;اسم;"متواضع;بسيط";"مُتَوَاضِع;بَسِيط"
2255;بجاد;بِجَاد;اسم;"غلالة";"غِلاَلَة"
2256;بجال;بَجَال;اسم;"محقّر;ضعيف";"مُحَقَّر;ضَعِيف"
2257;بضجباج;بضجْبَاج;اسم;"نحيل";"نَحِيل"
2258;بجح;بَجِحَ;فعل;"حزن";"حَزِنَ"
2259;بجح;بَجَّحَ;فعل;"أحزن";"أَحْزَنَ"
2260;بجح;بَجِح;اسم;"حزين";"حَزِين"
2261;بجد(بالمكان);بَجَدَ(بِالمَكَانِ);فعل;"رحل(عنه);ترك;هجر";"رَحَلَ(عِنْهُ);تَرَكَ;هَجَرَ"
2262;بجد(بالمكان);بَجَّدَ(بِالمَكَان);فعل;"ارتحل;هجر;ترك";"ارْتَحَلَ;هَجَرَ;تَرَكَ"
2263;بجدة;بَجْدَة;اسم;"أباعد;أعداء";"أَبَاعِد;أَعْدَاء"
2264;بجر;بَجَرَ;فعل;"ضمر";"ضَمُرَ"
2265;بجر;بَجِر;اسم;"أخمص;ضامر";"أَخْمَص;ضَامِر"
2266;بجس;بَجَسَ;فعل;"نضب;جف";"نَضَبَ;جَفَ"
2267;بجس;بَجَس;اسم;"نضوب;جفاف";"نُضُوب;جَفَاف"
2268;بجل;بَجَّلَ;فعل;"حقّر;احتقر";"حَقَّرَ;اِحْتَقَرَ"
2269;بجل;بِجَل;اسم;"احتقار";"اِحْتِقَار"
2270;بجل;بَجُلَ;فعل;"حقّر";"حَقَّرَ"
2271;بجيس(من الماء);بَجِيس(مِنَ المِاء);اسم;"متجمّد";"مُتَجَمِّد"
2272;بجيل;بَجِيل;اسم;"محتقر";"مُحْتَقَر"
2273;بح(صوته);بَحَّ(صَوْتُهُ);فعل;"رخم";"رَخُمَ"
2274;بحاح;بُحَاح;اسم;"نعومة(الصوت);رخامة";"نُعُومَة(الصَوْت);رَخَامَة"
2275;بحبوحة(من العيش);بَحْبُوحَة(مِنَ العَيْش);اسم;"ضيق";"ضِيق"
2276;بحة(الصوت);بُحَّة(الصَوْت);اسم;"نعومة;رخامة";"نُعُومَة;رَخَامَة"
2277;بحتر;بُحْتُر;اسم;"طويل";"طَوِيل"
2278;بحتري;بُحْتُرِيّ;اسم;"طويل";"طَوِيل"
2279;بحثر;بَحْثَرَ;فعل;"جمّع";"جَمَّعَ"
2280;بحثرة;بَحْثَرَة;اسم;"جمع";"جَمْع"
2281;بحح;بَحَّحَ;فعل;"نعّم;رخّم";"نَعَّمَ;رَخَّمَ"
2282;بحر;بَحْر;اسم;"برّ;يابسة;جوّ";"بَرّ;يَابِسَة;جَوّ"
2283;بحري;بَحْرِيّ;اسم;"بريّ;جويّ";"بَرِيّ;جَوِيّ"
2284;بحرية;بَحْرِيَّة;اسم;"بريّة;جويّة";"بَرِيَّة;جَوِيَّة"
2285;بخ;بَخّ;اسم;"حقير;ذليل";"حَقِير;ذَلِيل"
2286;بخال;بَخَّال;اسم;"كريم;سخيّ";"كَرِيم;سَخِيّ"
2287;بختر;بَخْتَرَ;فعل;"تواضع";"تَوَاضَعَ"
2288;بخترة;بَخْتَرَة;اسم;"تواضع";"تَوَاضُع"
2289;بختير;بِخْتِير;اسم;"متواضع";"مُتَوَاضِع"
2290;بخم(الفم);بَخِمَ(الفَمُ);فعل;"عطر";"عَطِرَ"
2291;بخس;بَخْس;اسم;"غالي;باهض;زائد";"غَالِي;بَاهِض;زَائِد"
2292;بخس(الحق);بَخَسَ(الحَقَّ);فعل;"أدّى";"أَدَّى"
2293;بخل;بَخُلَ;فعل;"كرم;جاد";"كَرُمَ;جَادَ"
2294;بخل;بُخْل;اسم;"كرم;جود";"كَرَم;جُود"
2295;بخول;بُخُول;اسم;"كرم;سخاء";"كَرَم;سَخَاء"
2296;بخيت;بَخِيت;اسم;"تعيس";"تَعِيس"
2297;بخيل;بَخِيل;اسم;"كريم;جواد";"كَرِيم;جَوَاد"
2298;بد;بَدَّ;فعل;"فرّق;أبعد";"فَرَّقَ;أَبْعَدَ"
2299;بد;بَدّ;اسم;"تفريق;إبعاد;راحة";"تَفْرِيق;إِبْعَاد;رَاحَة"
2300;بدا;بَدَا;فعل;"خفى;خفي";"خَفَى;خَفِيَ"
2301;بدء;بَدْء;اسم;"نهاية;ختام";"نِهَايَة;خِتَام"
2302;بدأ;بَدَأَ;فعل;"انتهى";"اِنْتَهَى"
2303;بدأ;بَدَّأَ;فعل;"ختّم";"خَتَّمَ"
2304;بداءة;بَدَاءَة;اسم;"آخر;نهاية";"آخِر;نِهَايَة"
2305;بدأة;بَدْأَة;اسم;"نهاية";"نِهَايَة"
2306;بدار;بَدَار;اسم;"تأخر;إبطاء";"تَأَخُر;إِبْطَاء"
2307;بدانة;بَدَانَة;اسم;"نحافة;ضعف;هزال";"نَحَافَة;ضُعْف;هُزَال"
2308;بداوة;بَدَاوَة;اسم;"تمدّن;حضارة";"تَمَدُّن;حَضَارَة"
2309;بداوة;بِدَاوَة;اسم;"تمدّن;حضارة";"تَمَدُّن;حَضَارَة"
2310;بداية;بِدَايَة;اسم;"نهاية;ختام";"نِهَايَة;خِتَام"
2311;بدة;بِدَّة;اسم;"ضعف";"ضُعْف"
2312;بدح(الشيء);بَدَحَ(الشَّيْءَ);فعل;"أمسك (به)";"أَمْسَكَ (بِهِ)"
2313;بدح(السر);بَدَحَ(السِرَّ);فعل;"كتم";"كَتَمَ"
2314;بدح;بَدْح;اسم;"سرّ";"سِرّ"
2315;بدد;بَدَّدَ;فعل;"جمع;لمّ";"جَمَعَ;لَمَّ"
2316;بدد;بَدَد;اسم;"كفاية;ضعف";"كِفَايَة;ضُعْف"
2317;بدر;بَدْر;اسم;"هلال";"هِلاَل"
2318;بدر;بَدَرَ;فعل;"أبطأ;تأخر";"أَبْطَأَ;تَأَخَرَ"
2319;بدران;بَدَرَان;اسم;"إبطاء";"إِبْطَاء"
2320;بدل(الشيء);بَدَلَ(الشَّيْءَ);فعل;"أبقى";"أَبْقَى"
2321;بدل;بَدَّلَ;فعل;"أدام;أبقى";"أَدَامَ;أَبْقَى"
2322;بدن;بَدَنَ;فعل;"ضعف;هزل;نحل;نحف";"ضَعُفَ;هَزُلَ;نَحُلَ;نَحُفَ"
2323;بدن;بَدَن;اسم;"روح";"رُوح"
2324;بدن;بَدَّنَ;فعل;"ضعّف;نحّل";"ضَعَّفَ;نَحَّلَ"
2325;بدو;بَدْو;اسم;"حضر";"حَضَر"
2326;بدوي;بَدَوِيّ;اسم;"حضريّ;مدنيّ";"حَضَرِيّ;مَدَنِيّ"
2327;بدين;بَدِين;اسم;"هزيل;نحيل;ضعيف";"هَزِيل;نَحِيل;ضَعِيف"
2328;بديه;بَدِيه;اسم;"تكلّف";"تَكَلُّف"
2329;بديهة;بَدِيهَة;اسم;"تكلّف;تصنّع";"تَكَلُّف;تَصَنُّع"
2330;بذ;بَذّ;اسم;"تخلف";"تَخَلُف"
2331;بذ;بِذّ;اسم;"مخالف";"مُخَالِف"
2332;بذأ;بَذَأَ;فعل;"عفّ";"عَفَّ"
2333;بذئ;بَذِئَ;فعل;"عفّ";"عَفَّ"
2334;بذؤ;بَذُؤَ;فعل;"عفّ";"عَفَّ"
2335;بذاء;بَذَاء;اسم;"عفّة;احتشام";"عِفَّة;اِحْتِشَام"
2336;بذاءة;بَذَاءَة;اسم;"عفّة";"عِفَّة"
2337;بذاخ;بَذَّاخ;اسم;"متواضع";"مُتَوَاضِع"
2338;بذال;بَذَّال;اسم;"مقتّر;بخيل";"مُقَتِّر;بَخِيل"
2339;بذخ;بَذَخَ;فعل;"حقر;ذلّ;تواضع";"حَقُرَ;ذُلَّ;تَوَاضَعَ"
2340;بذخ;بَذُخَ;فعل;"حقر;ذلّ;تواضع";"حَقُرَ;ذُلَّ;تَوَاضَعَ"
2341;بذخ;بَذْخ;اسم;"تواضع;ذلّ";"تَوَاضُع;ذُلّ"
2342;بذخ;بَذَخ;اسم;"تواضع";"تَوَاضُع"
2343;بذر(الحب);بَذَرَ(الحَبَّ);فعل;"جمع";"جَمَعَ"
2344;بذر;بَذَّرَ;فعل;"قتّر;حرص;اقتصد";"قَتَّرَ;حَرَصَ;اِقْتَصَدَ"
2345;بذر;بَذِر;اسم;"كتوم;جامع";"كَتوم;جَامِع"
2346;بذرق;بَذْرَقَ;فعل;"قتّر";"قَتَّرَ"
2347;بذرقة;بَذْرَقَة;اسم;"تقتير";"تَقْتِير"
2348;بذع;بَذَعَ;فعل;"طمأن;شجّع";"طَمْأَنَ;شَجَّعَ"
2349;بذع;بَذَع;اسم;"تطمين;تشجيع";"تَطْمِين;تَشْجِيع"
2350;بذل;بَذَلَ;فعل;"أمسك;قتّر";"أَمْسَكَ;قَتَّرَ"
2351;بذل;بَذْل;اسم;"حرص;شحّ;تقتير;إمساك";"حِرْص;شُحّ;تَقْتِير;إِمْسَاك"
2352;بذ;بَذَّ;فعل;"تخلّف(عن);انزم(أمام)";"تَخَلَّفَ(عَنِ);اِنْزَمَ(أَمَامَ)"
2353;بذوخ;بُذُوخ;اسم;"تواضع";"تَوَاضُع"
2354;بذور;بَذُور;اسم;"مصلح;كتوم";"مُصْلِح;كَتُوم"
2355;بذول;بَذُول;اسم;"شحيح;مقتّر";"شَحِيح;مُقَتِّر"
2356;بذيء;بَذِيء;اسم;"عفيف";"عَفِيف"
2357;بذيذ;بَذِيذ;اسم;"مخالف";"مُخَالِف"
2358;بر;بَرَّ;فعل;"أخلف;نكث;كذب;أثم;عقّ";"أَخْلَفَ;نَكَثَ;كَذَبَ;أَثِمَ;عَقَّ"
2359;بر;بَرَّ;اسم;"بحر;جوّ";"بَحْر;جَوّ"
2360;بر;بِرّ;اسم;"مجون;فسق;فجور;عقوق;إثم;شرّ;";"مُجُون;فِسْق;فُجُور;عُقُوق;إِثْم;شَرّ;"
2361;برأ;بَرَأَ;فعل;"مرض;سقم";"مَرِضَ;سَقِمَ"
2362;برؤ;بَرُؤَ;فعل;"سقم;اعتل;مرض";"سَقِمَ;اِعْتَلَ;مَرِضَ"
2363;برئ;بَرِئ;فعل;"اتّهم";"اِتُّهِمَ"
2364;برأ;بَرَّأَ;فعل;"أثّم;جرّم";"أَثَّمَ;جَرَّمَ"
2365;برء;بُرْء;اسم;"سقم;مرض";"سُقْم;مَرَض"
2366;براء;بَرَاء;اسم;"ذنب;إثم;جناح";"ذَنْب;إِثْم;جُنَاح"
2367;براءة;بَرَاءَة;اسم;"إدانة;تهمة;اتّهام;إثم";"إِدَانَة;تُهْمَة;اِتِّهَام;إِثْم"
2368;براح;بَرَاح;فعل;"شكّ;ريب;إقامة";"شَكَّ;رَيْب;إِقَامَة"
2369;براد;بُرَاد;اسم;"حارّ;ساخن";"حَارّ;سَاخِن"
2370;برادة;بَرَّادَة;اسم;"سخّانة";"سَخَّانَة"
2371;براض;بُرَاض;اسم;"عدّ;كثير";"عِدّ;كَثِير"
2372;براضة;بُرَاضَة;اسم;"عدّ;كثير";"عِدّ;كَثِير"
2373;براعة;بَرَاعَة;اسم;"فشل;إخفاق";"فَشَل;إِخْفَاق"
2374;براني;بَرَّانِيّ;اسم;"داخليّ";"دَاخِلِيّ"
2375;بربري;بَرْبَرِيّ;اسم;"مدنيّ;متمدّن";"مَدَنِيّ;مُتَمَدِّن"
2376;برث;بَرْث;اسم;"وصل";"وَصْل"
2377;برت;بَرَت;اسم;"وثوق;تأكيد";"وُثُوق;تَأْكِيد"
2378;برت(الشيء);بَرَت(الشَّيْءَ);فعل;"وصل";"وَصَلَ"
2379;برت;بَرِتَ;فعل;"تأكّد;وثق";"تَأَكَّدَ;وَثِقَ"
2380;برج;بَرَجَ;فعل;"انخفض;اختفى";"اِنْخَفَضَ;اِخْتَفَى"
2381;برضج;بَرضج;اسم;"قبيح";"قَبِيح"
2382;برج;بُرْج;اسم;"كهف;كوخ";"كَهْف;كُوخ"
2383;برح;بَرَحَ;فعل;"سنح;حلم";"سَنَحَ;حَلُمَ"
2384;برح;بَرْح;اسم;"خير;راحة";"خَيْر;رَاحَة"
2385;برح(المكان);بَرِحَ(المَكَان);فعل;"أقام(فيه)";"أَقَامَ(فِيهِ)"
2386;برح;بَرَّحَ;فعل;"أراح";"أَرَاحَ"
2387;برحى;بَرْحَى;اسم;"مرحى";"مَرْحَى"
2388;برحاء;بُرْحَاء;اسم;"سعادة;سعة";"سَعَادَة;سَعَة"
2389;برد;بَرَدَ;فعل;"انحّر;دفئ;سخن";"اِنْحَّرَ;دَفِئَ;سَخَنَ"
2390;برد;بَرُدَ;فعل;"سخن";"سَخُنَ"
2391;برد;بَرَّدَ;فعل;"سخّن";"سَخَّنَ"
2392;برد;بَرْد;اسم;"حرّ;دفء";"حَرّ;دِفْء"
2393;برداء;بَرْدَاء;اسم;"حمّى";"حُمَّى"
2394;بردان;بَرْدَان;اسم;"محرور";"مَحْرُور"
2395;برذون;بِرْذَوْن;اسم;"عراب";"عِرَاب"
2396;برر;بَرَّرَ;فعل;"خطأ;أثّم";"خَطَأَ;أَثَّمَ"
2397;برز;بَرَزَ;فعل;"اختفى;غاب";"اِخْتَفَى;غَابَ"
2398;برز;بَرْز;اسم;"متهتّك";"مُتَهَتِّك"
2399;برس;بَرَسَ;فعل;"ضعف";"ضَعُفَ"
2400;برس(الأرض);بَرَّسَ(الأَرْضَ);فعل;"وعّر";"وَعَّرَ"
2401;برشاء(من السنين);بَرْشَاء(مِنَ السِنِين);اسم;"مجدبة";"مُجْدِبَة"
2402;برض;بَرْض;اسم;"عدّ;كثير";"عِدّ;كَثِير"
2403;برض(الماء);بَرَضَ(المَاءُ);فعل;"كثر";"كَثُرَ"
2404;برضة;بُرْضَة;اسم;"خصبة";"خِصْبَة"
2405;برطم;بَرْطَمَ;فعل;"أسرّ;أفرح";"أَسَرَّ;أَفْرَحَ"
2406;برطمة;بَرْطَمَة;اسم;"إسعاد";"إِسْعَاد"
2407;برع;بَرَعَ;فعل;"فشل;أخفق";"فَشِلَ;أَخْفَقَ"
2408;برع;بَرُعَ;فعل;"أخفق";"أَخْفَقَ"
2409;برق;بَرَقَ;فعل;"خبا";"خَبَا"
2410;برق;بَرْق;اسم;"خبوّ";"خُبُوّ"
2411;برقة;بَرْقَة;اسم;"اطمئنان";"اِطْمِئْنَان"
2412;برقح(الوجه);بَرْقَحَ(الوَجْهُ);فعل;"حسن;جمل";"حَسُنَ;جَمُلَ"
2413;برقحة;بَرْقَحَة;اسم;"جمال;حسن";"جَمَال;حُسْن"
2414;برقعة;بَرْقَعَة;اسم;"إسفار";"إِسْفَار"
2415;برقعت(المرأة);بَرْقَعَت(المَرْأَة);فعل;"أسفرت";"أَسْفَرَت"
2416;برقل;بَرْقَلَ;فعل;"صدق";"صَدَقَ"
2417;برقلة;بَرْقَلَة;اسم;"صدق";"صِدْق"
2418;برك;بَرَكَ;فعل;"نهض";"نَهَضَ"
2419;برك;بَرَّكَ;فعل;"أنهض";"أَنْهَضَ"
2420;برك;بُرْك;اسم;"شجاع";"شُجَاع"
2421;بركة;بَرَكَة;اسم;"لعنة";"لَعْنَة"
2422;برم;بَرَم;اسم;"سلوّ";"سُلُوّ"
2423;بره;بَرِهَ;فعل;"سقم;مرض;اسودّ";"سَقِمَ;مَرِضَ;اِسْوَدَّ"
2424;بره;بَرَه;اسم;"سقم;مرض;اسوداد";"سَقَم;مَرَض;اِسْوِدَاد"
2425;بروج;بُرُوج;اسم;"انخفاض;اختفاء";"اِنْخِفَاض;اِخْتِفَاء"
2426;بروح;بُرُوح;اسم;"سنوح";"سُنُوح"
2427;برودة;بُرُودَة;اسم;"حرارة;سخونة;دفء";"حَرَارَة;سُخُونَة;دِفْء"
2428;بروز;بُرُوز;اسم;"اختفاء;غياب";"اِخْتِفَاء;غِيَاب"
2429;بروق;بَرُوق;اسم;"شجاع";"شُجَاع"
2430;بروك;بُرُوك;اسم;"نهوض";"نُهُوض"
2431;بري;بَرِيّ;اسم;"بحريّ";"بَحْرِيّ"
2432;بري(من الحيوان);بَرِيّ(مِنَ الحِيَوَان);اسم;"داجن;أليف";"دَاجِن;أَلِيف"
2433;بريء;بَرِيء;اسم;"مذنب;أثيم;جاني";"مُذْنِب;أَثِيم;جَانِي"
2434;بريح;بَرِيح;اسم;"سنيح";"سَنِيح"
2435;بريع;بَرِيع;اسم;"قبيح";"قَبِيح"
2436;بريق;بَرِيق;اسم;"خبوّ";"خُبُوّ"
2437;بريك;بَرِيك;اسم;"لعين";"لَعِين"
2438;بزاء;بَزَاء;اسم;"تواضع";"تَوَاضُع"
2439;بزاع;بُزَاع;اسم;"حيي";"حَيِي"
2440;بزاعة;بَزَاعَة;اسم;"حياء";"حَيَاء"
2441;بزبز;بَزْبَزَ;فعل;"انتصر";"اِنْتَصَرَ"
2442;بزج(الشيء);بَزَّجَ(الشَّيْءَ);فعل;"قبّح";"قَبَّحَ"
2443;بزراء(من النساء);بَزْرَاء(مِنَ النِّساء);اسم;"عاقر";"عَاقِر"
2444;بزغ(الغلام);بَزُغَ(الغُلاَم);فعل;"استحيا";"اِسْتَحْيَا"
2445;بزغ;بَزَغَ;فعل;"غاب;أفل";"غَابَ;أَفَلَ"
2446;بزغ;بَزْغ;اسم;"أفول;غياب";"أُفُول;غِيَاب"
2447;بزل(الأمر);بَزُلُ(الأَمْرُ);فعل;"التوى";"اِلْتَوَى"
2448;بزل;بَزْل;اسم;"فرج";"فَرَج"
2449;بزم;بَزَمَ;فعل;"رقّ";"رَقَّ"
2450;بزم;بَزْم;اسم;"رقّة";"رِقَّة"
2451;بزمة;بَزْمَة;اسم;"فرج";"فَرَج"
2452;بز;بَزَّ;فعل;"تخلف(عن)";"تَخَلَفَ(عَن)"
2453;بزو;بَزْو;اسم;"مخالف";"مُخَالِف"
